userid,browse_count,browse_countAvgMon,browse_meanAvgMon
333,50,50.0,112.0
335,18,18.0,110.0
336,96,96.0,113.0
338,75,75.0,120.0
341,88,88.0,101.0
342,100,100.0,112.0
343,24,24.0,126.0
347,240,240.0,99.0
349,60,60.0,112.0
351,55,55.0,108.0
353,114,114.0,103.0
355,117,117.0,106.0
357,49,49.0,109.0
358,90,90.0,112.0
359,140,140.0,89.0
362,310,78.0,96.0
364,96,96.0,124.0
365,130,130.0,106.0
369,160,160.0,122.0
372,52,52.0,146.0
375,24,24.0,126.0
379,126,126.0,93.0
380,336,112.0,117.0
381,253,253.0,128.0
382,1224,306.0,127.0
386,144,144.0,109.0
391,272,91.0,113.0
393,36,36.0,126.0
395,32,16.0,20.0
397,84,84.0,124.0
399,209,104.0,118.0
406,437,87.0,39.0
412,40,40.0,126.0
415,289,289.0,95.0
419,155,39.0,117.0
424,90,90.0,105.0
425,110,110.0,103.0
430,120,120.0,86.0
431,663,221.0,106.0
434,147,49.0,55.0
435,377,126.0,98.0
439,120,120.0,126.0
440,22,22.0,42.0
441,70,70.0,112.0
442,224,112.0,108.0
444,204,102.0,122.0
445,60,60.0,99.0
448,112,112.0,111.0
451,160,80.0,111.0
454,1204,150.0,120.0
456,266,133.0,95.0
458,220,110.0,116.0
459,105,52.0,104.0
463,112,112.0,109.0
465,432,144.0,103.0
468,216,108.0,113.0
469,240,120.0,105.0
471,112,112.0,98.0
472,48,48.0,101.0
475,70,70.0,88.0
477,153,153.0,97.0
479,96,96.0,123.0
480,135,135.0,110.0
481,189,189.0,107.0
484,432,144.0,119.0
489,78,78.0,94.0
490,243,122.0,121.0
497,242,242.0,130.0
501,66,33.0,66.0
504,48,48.0,126.0
506,24,24.0,110.0
508,24,24.0,110.0
514,60,60.0,98.0
519,100,100.0,112.0
522,110,110.0,112.0
526,96,96.0,112.0
530,207,104.0,112.0
532,90,45.0,102.0
533,1034,258.0,115.0
534,28,28.0,110.0
537,308,154.0,112.0
541,220,220.0,117.0
544,112,56.0,139.0
549,165,165.0,126.0
550,100,100.0,112.0
555,126,126.0,129.0
560,91,91.0,115.0
561,405,135.0,113.0
562,32,32.0,130.0
566,120,120.0,98.0
568,120,60.0,110.0
569,108,108.0,98.0
570,80,80.0,112.0
573,48,48.0,98.0
576,18,18.0,136.0
582,50,50.0,112.0
583,108,108.0,123.0
585,32,32.0,126.0
586,105,52.0,111.0
588,60,20.0,134.0
589,90,45.0,101.0
593,184,92.0,121.0
599,27,27.0,110.0
602,88,88.0,128.0
604,108,108.0,115.0
606,48,48.0,152.0
608,120,120.0,98.0
611,72,36.0,126.0
612,72,72.0,108.0
614,140,140.0,89.0
623,90,90.0,104.0
626,252,84.0,116.0
633,153,153.0,109.0
634,50,50.0,112.0
638,42,7.0,20.0
639,16,16.0,146.0
641,66,22.0,109.0
644,496,99.0,117.0
645,243,122.0,120.0
647,70,70.0,110.0
648,290,145.0,122.0
649,84,84.0,103.0
651,36,18.0,110.0
653,490,82.0,109.0
654,312,104.0,111.0
656,495,165.0,123.0
659,36,36.0,110.0
660,40,40.0,126.0
664,42,42.0,106.0
675,40,40.0,101.0
680,90,45.0,110.0
681,108,54.0,113.0
684,24,24.0,110.0
685,152,152.0,106.0
687,240,120.0,112.0
690,110,110.0,112.0
691,126,126.0,100.0
692,448,112.0,114.0
696,190,95.0,120.0
697,104,52.0,129.0
698,392,131.0,112.0
703,1218,122.0,118.0
705,40,40.0,112.0
709,12,12.0,20.0
711,400,133.0,125.0
712,722,361.0,125.0
713,132,132.0,111.0
718,224,112.0,110.0
723,40,40.0,101.0
725,369,123.0,118.0
728,81,81.0,112.0
730,32,32.0,126.0
732,20,20.0,110.0
739,119,119.0,109.0
740,315,105.0,119.0
749,243,122.0,115.0
750,256,128.0,110.0
754,36,18.0,136.0
757,130,43.0,103.0
761,120,60.0,110.0
762,120,60.0,104.0
763,96,48.0,106.0
764,180,90.0,112.0
767,192,96.0,128.0
768,176,88.0,75.0
769,120,120.0,112.0
771,112,37.0,110.0
772,70,70.0,133.0
777,7,7.0,118.0
779,72,72.0,111.0
787,147,74.0,103.0
790,260,130.0,115.0
792,120,60.0,117.0
796,126,126.0,121.0
799,40,40.0,126.0
800,132,132.0,98.0
803,120,120.0,112.0
804,144,144.0,112.0
805,200,67.0,106.0
810,108,108.0,111.0
820,96,96.0,112.0
822,136,136.0,101.0
824,96,96.0,124.0
827,108,108.0,112.0
828,450,150.0,127.0
834,70,70.0,112.0
835,48,48.0,101.0
836,144,144.0,123.0
837,204,51.0,111.0
839,26,26.0,110.0
840,180,180.0,124.0
846,885,221.0,112.0
852,70,35.0,119.0
853,150,38.0,66.0
854,48,48.0,101.0
861,100,100.0,112.0
863,528,176.0,111.0
868,252,126.0,127.0
869,144,144.0,99.0
875,72,72.0,110.0
876,33,33.0,110.0
877,182,61.0,114.0
878,143,143.0,115.0
881,232,77.0,122.0
883,84,84.0,111.0
885,133,66.0,106.0
886,144,144.0,106.0
887,65,32.0,111.0
888,108,108.0,112.0
894,104,104.0,115.0
895,50,50.0,88.0
904,80,80.0,112.0
906,81,81.0,98.0
907,126,126.0,114.0
917,208,104.0,138.0
919,91,46.0,111.0
925,112,112.0,123.0
928,150,75.0,112.0
934,230,115.0,124.0
937,33,33.0,110.0
938,60,60.0,112.0
939,30,30.0,110.0
940,108,108.0,102.0
941,1224,408.0,100.0
942,377,188.0,114.0
945,108,108.0,123.0
946,272,272.0,114.0
947,168,56.0,101.0
948,27,27.0,110.0
958,140,140.0,123.0
962,378,94.0,136.0
965,60,60.0,112.0
966,1056,176.0,117.0
967,286,286.0,106.0
972,81,40.0,110.0
975,322,107.0,123.0
976,30,30.0,110.0
977,114,114.0,119.0
978,96,32.0,107.0
979,133,133.0,130.0
980,56,56.0,101.0
983,90,90.0,102.0
985,77,77.0,106.0
986,55,55.0,108.0
987,48,48.0,101.0
991,91,91.0,115.0
992,84,84.0,98.0
993,319,319.0,100.0
994,196,98.0,123.0
995,105,105.0,120.0
997,144,144.0,115.0
999,171,43.0,108.0
1000,72,72.0,101.0
1003,180,180.0,107.0
1004,256,128.0,128.0
1006,36,36.0,126.0
1007,80,80.0,112.0
1009,64,64.0,101.0
1010,70,70.0,112.0
1012,80,40.0,119.0
1014,60,60.0,112.0
1018,28,28.0,126.0
1019,130,65.0,113.0
1021,6,6.0,118.0
1025,18,18.0,110.0
1027,330,165.0,120.0
1033,550,183.0,107.0
1037,132,132.0,124.0
1038,182,182.0,107.0
1040,96,96.0,98.0
1044,468,156.0,111.0
1047,140,47.0,107.0
1048,50,50.0,112.0
1050,180,90.0,107.0
1051,144,72.0,127.0
1052,288,96.0,100.0
1056,196,196.0,123.0
1062,1620,231.0,117.0
1065,1370,196.0,116.0
1066,240,240.0,107.0
1068,160,160.0,95.0
1069,273,136.0,110.0
1076,95,95.0,125.0
1081,128,128.0,122.0
1084,270,135.0,114.0
1085,105,52.0,122.0
1086,42,42.0,110.0
1087,300,150.0,107.0
1090,264,88.0,107.0
1091,126,32.0,45.0
1096,792,132.0,98.0
1099,360,120.0,110.0
1105,660,220.0,123.0
1106,25,12.0,92.0
1111,120,120.0,126.0
1121,48,48.0,82.0
1124,90,90.0,112.0
1127,95,95.0,121.0
1130,200,200.0,116.0
1134,200,200.0,120.0
1141,60,60.0,111.0
1145,204,102.0,133.0
1148,63,63.0,101.0
1149,112,112.0,118.0
1151,176,88.0,128.0
1152,9,9.0,20.0
1153,140,140.0,102.0
1154,150,150.0,107.0
1155,234,78.0,116.0
1163,72,72.0,123.0
1164,63,32.0,118.0
1165,256,256.0,115.0
1166,72,72.0,110.0
1169,350,117.0,116.0
1172,85,85.0,110.0
1177,144,144.0,111.0
1183,240,240.0,115.0
1189,14,14.0,110.0
1192,704,176.0,128.0
1193,160,80.0,128.0
1194,70,70.0,112.0
1197,140,140.0,113.0
1204,55,55.0,122.0
1211,216,216.0,99.0
1212,128,128.0,112.0
1216,90,90.0,106.0
1218,265,66.0,108.0
1223,72,72.0,92.0
1225,42,42.0,105.0
1232,351,176.0,121.0
1234,75,75.0,117.0
1235,140,140.0,112.0
1237,108,108.0,98.0
1238,56,56.0,101.0
1241,104,52.0,117.0
1242,120,120.0,112.0
1243,320,160.0,117.0
1247,64,64.0,101.0
1248,90,90.0,112.0
1249,144,144.0,108.0
1252,210,70.0,114.0
1253,65,32.0,114.0
1259,96,96.0,96.0
1261,320,160.0,108.0
1264,112,112.0,113.0
1266,80,80.0,102.0
1267,56,56.0,145.0
1271,400,400.0,128.0
1278,230,77.0,125.0
1281,144,144.0,111.0
1283,60,60.0,112.0
1294,520,260.0,105.0
1296,248,124.0,116.0
1303,100,100.0,112.0
1305,126,126.0,111.0
1309,60,60.0,98.0
1310,77,77.0,107.0
1311,216,216.0,120.0
1315,207,104.0,111.0
1318,91,46.0,118.0
1320,135,135.0,120.0
1322,224,224.0,113.0
1323,210,210.0,110.0
1324,208,104.0,106.0
1325,112,112.0,115.0
1327,396,132.0,125.0
1329,182,91.0,108.0
1334,555,111.0,109.0
1335,140,70.0,104.0
1336,72,36.0,110.0
1339,520,104.0,119.0
1340,560,280.0,126.0
1344,680,136.0,100.0
1345,48,48.0,101.0
1347,70,70.0,111.0
1352,235,78.0,96.0
1354,144,144.0,115.0
1355,112,112.0,130.0
1356,612,204.0,115.0
1357,90,90.0,123.0
1360,343,86.0,121.0
1361,96,96.0,98.0
1362,297,148.0,104.0
1364,210,35.0,107.0
1366,700,175.0,101.0
1368,210,105.0,117.0
1372,120,60.0,131.0
1375,60,60.0,112.0
1376,224,112.0,89.0
1377,156,52.0,102.0
1378,28,28.0,69.0
1382,384,128.0,112.0
1383,154,154.0,119.0
1388,72,36.0,111.0
1392,140,70.0,116.0
1396,160,160.0,95.0
1401,54,27.0,136.0
1404,52,52.0,126.0
1410,319,106.0,116.0
1413,184,92.0,114.0
1415,35,35.0,120.0
1417,360,180.0,122.0
1418,210,70.0,103.0
1420,120,120.0,112.0
1421,408,408.0,111.0
1424,85,42.0,108.0
1428,189,94.0,136.0
1429,14,14.0,146.0
1430,120,120.0,111.0
1437,150,75.0,129.0
1442,153,153.0,108.0
1444,264,88.0,104.0
1449,48,48.0,101.0
1451,20,20.0,126.0
1452,1410,235.0,114.0
1453,28,28.0,128.0
1458,114,114.0,116.0
1459,40,40.0,120.0
1461,198,198.0,117.0
1463,270,135.0,115.0
1464,60,60.0,112.0
1466,36,36.0,126.0
1473,252,84.0,123.0
1476,462,154.0,98.0
1477,18,18.0,110.0
1478,441,63.0,103.0
1479,50,50.0,104.0
1480,70,70.0,123.0
1481,98,98.0,123.0
1483,55,55.0,104.0
1485,160,80.0,114.0
1486,156,78.0,97.0
1491,110,55.0,105.0
1492,110,110.0,128.0
1493,162,162.0,100.0
1496,40,40.0,104.0
1497,110,110.0,112.0
1498,72,72.0,112.0
1500,60,60.0,118.0
1501,153,76.0,60.0
1504,160,160.0,115.0
1509,207,104.0,103.0
1511,140,70.0,108.0
1512,210,105.0,118.0
1515,50,50.0,112.0
1520,50,50.0,112.0
1522,105,52.0,61.0
1533,238,119.0,105.0
1535,14,14.0,110.0
1536,60,60.0,112.0
1537,112,37.0,102.0
1540,210,210.0,124.0
1550,80,80.0,112.0
1554,132,66.0,120.0
1568,75,75.0,95.0
1577,252,126.0,100.0
1581,360,180.0,116.0
1582,196,196.0,89.0
1584,126,126.0,112.0
1586,289,289.0,108.0
1589,247,247.0,127.0
1591,140,140.0,113.0
1593,336,336.0,111.0
1594,117,117.0,115.0
1596,36,36.0,126.0
1597,143,143.0,128.0
1598,180,180.0,131.0
1600,234,117.0,98.0
1606,320,320.0,112.0
1609,710,142.0,116.0
1613,84,84.0,123.0
1617,324,108.0,111.0
1623,70,70.0,112.0
1625,24,24.0,110.0
1626,90,90.0,112.0
1627,252,126.0,119.0
1630,108,108.0,111.0
1636,636,212.0,107.0
1638,150,75.0,110.0
1639,160,80.0,119.0
1644,375,188.0,127.0
1645,308,154.0,119.0
1646,198,99.0,117.0
1657,33,33.0,110.0
1658,200,50.0,104.0
1660,630,158.0,117.0
1661,152,152.0,126.0
1662,190,48.0,107.0
1663,120,120.0,117.0
1664,75,75.0,123.0
1666,153,76.0,122.0
1670,120,60.0,113.0
1673,90,90.0,118.0
1675,84,84.0,84.0
1676,72,72.0,101.0
1677,312,104.0,109.0
1683,546,182.0,98.0
1684,276,138.0,106.0
1687,100,100.0,111.0
1688,54,27.0,105.0
1689,350,117.0,124.0
1690,329,110.0,121.0
1691,28,28.0,126.0
1692,112,112.0,84.0
1693,120,60.0,106.0
1695,32,32.0,126.0
1697,133,66.0,118.0
1700,35,35.0,109.0
1701,85,42.0,118.0
1702,98,49.0,119.0
1705,96,96.0,98.0
1710,5,5.0,118.0
1713,144,144.0,115.0
1714,323,323.0,107.0
1725,98,98.0,100.0
1726,198,198.0,106.0
1727,135,135.0,117.0
1729,540,180.0,126.0
1732,819,273.0,102.0
1737,72,72.0,123.0
1740,336,168.0,109.0
1742,168,168.0,99.0
1744,64,64.0,101.0
1745,540,135.0,112.0
1746,266,133.0,126.0
1747,190,190.0,112.0
1752,459,153.0,110.0
1754,288,144.0,122.0
1763,126,126.0,110.0
1766,96,96.0,112.0
1770,196,98.0,123.0
1772,126,42.0,108.0
1774,45,15.0,115.0
1778,220,110.0,143.0
1779,180,180.0,126.0
1782,192,48.0,92.0
1785,12,12.0,20.0
1786,810,270.0,104.0
1790,140,140.0,84.0
1793,33,33.0,110.0
1796,943,314.0,103.0
1797,252,252.0,124.0
1798,1216,135.0,114.0
1799,36,36.0,105.0
1800,480,160.0,122.0
1804,228,228.0,119.0
1807,216,108.0,123.0
1809,60,60.0,112.0
1813,120,120.0,123.0
1817,64,64.0,101.0
1818,60,60.0,112.0
1819,270,135.0,116.0
1820,240,80.0,123.0
1825,20,20.0,110.0
1827,144,144.0,123.0
1828,108,108.0,111.0
1829,540,108.0,123.0
1832,98,49.0,119.0
1835,216,72.0,113.0
1836,120,60.0,114.0
1837,200,100.0,112.0
1845,195,65.0,109.0
1850,276,276.0,118.0
1860,154,77.0,119.0
1862,290,48.0,104.0
1869,168,168.0,130.0
1875,248,124.0,111.0
1877,104,104.0,101.0
1894,72,72.0,101.0
1898,546,91.0,123.0
1900,132,132.0,98.0
1901,308,308.0,106.0
1903,120,120.0,127.0
1904,117,117.0,115.0
1906,80,40.0,110.0
1914,98,98.0,113.0
1917,112,112.0,114.0
1918,585,146.0,102.0
1920,12,12.0,110.0
1922,160,160.0,101.0
1924,112,112.0,102.0
1926,24,24.0,154.0
1927,36,36.0,110.0
1928,72,72.0,123.0
1929,100,50.0,120.0
1940,492,70.0,100.0
1943,102,102.0,116.0
1945,780,260.0,117.0
1947,12,12.0,146.0
1950,135,68.0,126.0
1952,84,84.0,98.0
1954,50,50.0,112.0
1955,192,96.0,106.0
1956,48,48.0,101.0
1960,232,116.0,120.0
1962,70,70.0,112.0
1963,24,12.0,31.0
1966,224,32.0,57.0
1969,84,84.0,99.0
1970,980,245.0,114.0
1988,234,234.0,121.0
1992,451,226.0,116.0
2004,24,24.0,126.0
2008,285,285.0,118.0
2009,351,117.0,105.0
2012,99,99.0,128.0
2015,666,166.0,119.0
2018,42,21.0,136.0
2020,16,16.0,110.0
2021,162,162.0,112.0
2027,704,352.0,120.0
2032,78,78.0,115.0
2034,210,105.0,116.0
2042,136,136.0,124.0
2051,90,90.0,114.0
2052,245,122.0,117.0
2055,88,88.0,108.0
2056,84,84.0,111.0
2058,630,126.0,120.0
2059,814,204.0,123.0
2063,32,32.0,126.0
2070,91,91.0,110.0
2071,1099,157.0,96.0
2073,120,120.0,129.0
2074,70,70.0,111.0
2075,294,74.0,114.0
2077,288,144.0,119.0
2081,128,128.0,104.0
2082,7,7.0,20.0
2084,90,90.0,112.0
2086,144,72.0,123.0
2102,270,270.0,124.0
2106,368,368.0,125.0
2110,80,80.0,112.0
2113,2050,683.0,117.0
2121,140,70.0,112.0
2123,180,180.0,102.0
2124,322,161.0,65.0
2138,256,256.0,111.0
2139,588,294.0,97.0
2140,288,96.0,111.0
2144,133,66.0,137.0
2145,24,24.0,126.0
2154,80,80.0,126.0
2156,110,110.0,112.0
2160,143,143.0,115.0
2165,100,100.0,112.0
2168,24,24.0,110.0
2172,90,90.0,102.0
2174,112,112.0,112.0
2176,216,72.0,116.0
2180,56,56.0,101.0
2186,20,20.0,110.0
2190,105,105.0,117.0
2191,203,102.0,91.0
2196,90,45.0,110.0
2199,110,110.0,128.0
2201,120,60.0,112.0
2207,629,210.0,113.0
2212,414,138.0,130.0
2215,119,119.0,111.0
2224,50,50.0,112.0
2225,60,60.0,98.0
2230,384,96.0,106.0
2233,240,60.0,114.0
2236,14,14.0,110.0
2242,540,135.0,111.0
2250,96,96.0,98.0
2251,155,52.0,103.0
2256,110,110.0,102.0
2260,217,108.0,101.0
2263,132,132.0,128.0
2270,99,99.0,128.0
2278,132,132.0,111.0
2279,336,112.0,118.0
2284,96,96.0,123.0
2306,328,164.0,111.0
2312,224,75.0,112.0
2313,99,99.0,128.0
2314,36,36.0,105.0
2320,108,108.0,111.0
2321,7,7.0,20.0
2322,63,63.0,134.0
2323,96,96.0,113.0
2324,100,100.0,112.0
2331,120,120.0,111.0
2351,154,154.0,128.0
2353,415,83.0,120.0
2356,96,96.0,123.0
2357,360,180.0,122.0
2365,490,98.0,82.0
2370,96,96.0,98.0
2371,160,160.0,112.0
2372,88,88.0,128.0
2383,200,200.0,112.0
2385,60,60.0,126.0
2396,135,68.0,116.0
2397,2261,283.0,123.0
2398,1026,147.0,104.0
2401,126,126.0,127.0
2402,96,96.0,99.0
2406,120,120.0,111.0
2410,168,168.0,111.0
2420,100,100.0,112.0
2428,210,105.0,105.0
2431,18,18.0,110.0
2440,70,70.0,112.0
2442,140,140.0,112.0
2443,110,110.0,120.0
2450,60,60.0,98.0
2453,270,270.0,103.0
2456,35,35.0,134.0
2457,135,135.0,120.0
2463,252,84.0,120.0
2475,12,12.0,118.0
2482,530,265.0,108.0
2485,60,60.0,102.0
2491,105,105.0,117.0
2495,36,36.0,110.0
2499,256,128.0,102.0
2508,196,98.0,119.0
2509,28,28.0,126.0
2511,128,128.0,124.0
2534,40,40.0,126.0
2542,63,63.0,134.0
2547,56,28.0,62.0
2551,204,204.0,111.0
2555,198,99.0,118.0
2557,70,70.0,112.0
2558,180,45.0,118.0
2559,112,112.0,99.0
2564,190,190.0,107.0
2571,36,36.0,126.0
2576,72,36.0,126.0
2585,65,65.0,115.0
2587,396,132.0,105.0
2591,35,18.0,128.0
2598,28,28.0,126.0
2600,190,95.0,114.0
2605,100,100.0,102.0
2607,595,149.0,115.0
2611,36,36.0,126.0
2614,80,40.0,99.0
2615,700,175.0,123.0
2621,286,143.0,121.0
2624,84,42.0,105.0
2632,150,150.0,124.0
2642,310,103.0,118.0
2652,612,204.0,113.0
2653,208,104.0,112.0
2674,300,60.0,117.0
2675,266,89.0,112.0
2677,110,110.0,112.0
2679,44,44.0,126.0
2693,76,76.0,126.0
2697,224,112.0,110.0
2703,231,231.0,127.0
2705,32,32.0,126.0
2713,96,96.0,113.0
2714,96,48.0,118.0
2716,96,96.0,111.0
2719,150,150.0,117.0
2721,144,144.0,115.0
2722,216,108.0,111.0
2730,780,260.0,112.0
2734,96,96.0,152.0
2754,187,187.0,119.0
2756,144,72.0,117.0
2776,120,120.0,117.0
2778,440,147.0,120.0
2779,260,130.0,115.0
2781,140,140.0,119.0
2796,180,180.0,113.0
2805,174,87.0,103.0
2807,378,126.0,99.0
2817,221,110.0,120.0
2818,325,162.0,114.0
2840,112,56.0,109.0
2847,126,126.0,99.0
2852,147,74.0,120.0
2855,120,120.0,99.0
2858,100,100.0,112.0
2872,216,216.0,123.0
2876,70,70.0,112.0
2886,96,96.0,99.0
2892,200,100.0,110.0
2918,216,72.0,109.0
2927,192,192.0,99.0
2930,602,201.0,102.0
2932,100,100.0,112.0
2935,250,125.0,116.0
2941,112,112.0,112.0
2942,98,98.0,112.0
2954,154,154.0,100.0
2956,729,243.0,113.0
2969,426,142.0,108.0
2978,176,176.0,107.0
2987,260,260.0,117.0
2994,84,42.0,109.0
2999,81,40.0,105.0
3011,117,58.0,111.0
3016,84,42.0,116.0
3025,132,132.0,99.0
3026,288,144.0,109.0
3043,16,16.0,146.0
3048,328,109.0,117.0
3051,240,60.0,105.0
3053,588,294.0,96.0
3054,143,143.0,115.0
3068,108,108.0,105.0
3084,143,143.0,119.0
3098,987,329.0,99.0
3104,98,98.0,100.0
3114,832,208.0,93.0
3148,198,198.0,103.0
3158,108,108.0,106.0
3161,135,135.0,102.0
3163,60,60.0,112.0
3211,20,20.0,110.0
3213,120,120.0,111.0
3222,44,22.0,110.0
3228,120,120.0,111.0
3231,42,21.0,110.0
3239,112,112.0,145.0
3242,204,102.0,115.0
3252,484,242.0,112.0
3257,72,72.0,99.0
3264,84,84.0,109.0
3267,336,112.0,124.0
3269,56,56.0,96.0
3272,128,128.0,115.0
3276,120,120.0,112.0
3281,360,120.0,111.0
3284,154,154.0,112.0
3286,180,180.0,112.0
3293,180,180.0,114.0
3294,651,130.0,128.0
3301,162,81.0,102.0
3303,98,98.0,120.0
3307,162,162.0,115.0
3309,48,48.0,104.0
3312,216,216.0,118.0
3314,91,46.0,118.0
3315,208,104.0,125.0
3316,96,96.0,105.0
3317,128,128.0,123.0
3318,646,215.0,117.0
3319,448,224.0,124.0
3320,637,212.0,96.0
3321,174,58.0,120.0
3322,1032,258.0,100.0
3323,252,126.0,116.0
3324,108,108.0,135.0
3326,736,123.0,121.0
3327,108,108.0,111.0
3328,308,77.0,105.0
3330,252,126.0,119.0
3331,301,100.0,127.0
3332,209,209.0,107.0
3334,114,38.0,106.0
3335,150,75.0,103.0
3337,21,21.0,110.0
3339,16,16.0,110.0
3340,287,96.0,112.0
3342,308,308.0,113.0
3343,96,96.0,111.0
3345,168,84.0,116.0
3349,189,94.0,108.0
3351,72,72.0,104.0
3352,180,180.0,118.0
3358,72,72.0,111.0
3360,128,128.0,121.0
3365,96,96.0,100.0
3379,240,120.0,115.0
3380,1092,364.0,114.0
3382,252,126.0,109.0
3387,108,108.0,111.0
3389,629,314.0,106.0
3399,13,13.0,118.0
3400,260,260.0,100.0
3404,72,72.0,102.0
3405,684,137.0,117.0
3409,949,158.0,87.0
3411,161,80.0,128.0
3413,204,204.0,111.0
3414,135,135.0,114.0
3420,228,114.0,120.0
3423,136,136.0,125.0
3426,1160,116.0,122.0
3427,126,63.0,123.0
3436,480,240.0,131.0
3440,90,90.0,112.0
3441,150,75.0,110.0
3442,21,7.0,20.0
3444,140,140.0,112.0
3446,56,56.0,111.0
3449,176,176.0,111.0
3454,44,44.0,100.0
3455,70,70.0,106.0
3457,763,95.0,116.0
3462,108,108.0,111.0
3464,128,64.0,108.0
3465,351,176.0,116.0
3467,360,120.0,119.0
3469,60,60.0,112.0
3470,342,114.0,107.0
3471,480,120.0,122.0
3473,294,147.0,109.0
3474,472,118.0,114.0
3477,150,150.0,107.0
3478,275,92.0,110.0
3479,138,69.0,122.0
3481,189,189.0,108.0
3482,208,104.0,117.0
3483,216,108.0,126.0
3485,70,35.0,118.0
3486,90,90.0,109.0
3487,95,95.0,115.0
3488,96,96.0,111.0
3490,108,108.0,111.0
3491,168,168.0,109.0
3494,990,165.0,118.0
3495,876,219.0,123.0
3496,140,140.0,120.0
3498,72,72.0,111.0
3499,108,108.0,106.0
3501,108,54.0,108.0
3502,243,81.0,71.0
3503,119,119.0,104.0
3507,160,160.0,110.0
3509,96,96.0,111.0
3510,384,128.0,114.0
3513,160,160.0,114.0
3524,576,192.0,118.0
3526,77,38.0,105.0
3527,190,190.0,105.0
3529,112,112.0,128.0
3536,126,126.0,119.0
3537,375,375.0,109.0
3539,32,32.0,42.0
3540,2244,280.0,115.0
3543,735,368.0,111.0
3544,560,280.0,110.0
3548,153,76.0,56.0
3553,792,158.0,111.0
3557,84,84.0,99.0
3560,72,72.0,111.0
3561,1818,121.0,98.0
3562,190,190.0,114.0
3568,84,84.0,98.0
3570,105,105.0,107.0
3571,144,144.0,111.0
3573,522,174.0,91.0
3574,315,105.0,103.0
3576,56,28.0,105.0
3577,150,150.0,109.0
3579,120,120.0,111.0
3586,224,224.0,94.0
3587,70,70.0,102.0
3590,66,66.0,100.0
3596,455,228.0,108.0
3598,32,32.0,126.0
3599,171,171.0,134.0
3605,322,322.0,145.0
3610,126,126.0,100.0
3612,252,84.0,120.0
3617,90,90.0,115.0
3618,352,117.0,113.0
3620,40,40.0,118.0
3626,105,52.0,104.0
3628,2755,551.0,112.0
3632,504,84.0,109.0
3634,240,80.0,100.0
3635,441,147.0,120.0
3637,240,120.0,98.0
3640,340,113.0,111.0
3641,96,48.0,111.0
3644,180,45.0,107.0
3645,344,115.0,121.0
3647,280,140.0,118.0
