userid,browse_data_all_count,browse_data_all_max,browse_tag_all_count,browse_tag_all_max
344,80,190,80,10
345,108,190,108,10
347,240,190,240,10
349,60,190,60,10
350,342,201,342,10
351,105,189,105,7
353,114,189,114,10
354,195,190,195,10
355,117,190,117,10
356,415,213,415,10
357,49,189,49,7
358,396,190,396,10
359,140,188,140,10
361,546,201,546,10
362,1690,213,1690,10
363,88,213,88,7
364,96,213,96,8
365,650,190,650,10
366,360,213,360,8
367,826,201,826,10
369,430,201,430,10
370,880,213,880,10
371,328,201,328,10
372,1456,190,1456,10
373,343,200,343,10
374,138,213,138,10
375,84,190,84,10
376,208,188,208,10
378,684,213,684,10
379,558,213,558,10
380,468,213,468,10
381,3266,213,3266,10
382,2916,213,2916,10
383,205,188,205,10
384,285,190,285,10
385,1115,194,1115,10
386,576,213,576,10
387,5488,201,5488,10
388,475,213,475,10
389,203,173,203,7
390,143,200,143,10
391,704,208,704,10
392,198,190,198,10
393,270,213,270,10
394,154,173,154,8
395,64,173,64,1
396,15,118,15,7
397,408,213,408,10
398,30,118,30,7
399,1056,201,1056,10
400,160,173,160,7
401,70,173,70,10
402,143,190,143,10
403,120,190,120,10
404,472,190,472,10
405,168,201,168,10
406,988,213,988,10
407,297,201,297,10
408,204,190,204,10
409,308,190,308,10
410,540,200,540,10
411,242,215,242,10
412,40,173,40,7
413,360,213,360,10
414,510,213,510,10
415,629,200,629,10
416,602,190,602,10
417,198,190,198,10
418,384,201,384,10
419,215,190,215,10
420,1240,213,1240,10
421,640,213,640,10
423,720,213,720,10
424,390,190,390,10
425,341,213,341,7
426,161,190,161,10
427,80,190,80,10
429,486,190,486,10
430,348,189,348,10
431,819,213,819,10
433,12,118,12,1
434,693,213,693,10
435,611,189,611,10
437,286,188,286,10
438,108,189,108,10
439,120,201,120,10
440,22,64,22,3
441,70,190,70,10
442,448,190,448,10
443,7,118,7,1
444,204,201,204,10
445,60,190,60,10
447,100,190,100,10
448,112,201,112,10
451,424,194,424,10
452,78,190,78,10
453,99,190,99,10
454,1890,213,1890,10
456,266,201,266,10
457,90,190,90,10
458,1034,213,1034,10
459,105,201,105,10
462,504,190,504,10
463,252,213,252,10
464,208,190,208,10
465,432,189,432,7
467,171,190,171,10
468,333,190,333,10
469,424,189,424,10
471,112,189,112,10
472,48,173,48,7
475,133,173,133,8
477,153,190,153,10
479,96,190,96,10
480,135,213,135,10
481,324,201,324,10
482,96,201,96,10
483,528,213,528,10
484,720,213,720,10
485,66,190,66,10
486,1053,190,1053,10
487,469,200,469,10
488,160,190,160,10
489,570,213,570,10
490,918,213,918,10
491,1190,213,1190,10
492,24,118,24,7
496,304,190,304,10
497,1012,213,1012,10
498,56,173,56,7
499,128,190,128,10
500,469,190,469,10
501,114,190,114,10
503,1196,190,1196,10
504,1032,213,1032,10
505,144,189,144,10
506,1720,213,1720,10
507,296,190,296,10
508,224,201,224,10
509,558,201,558,10
511,546,213,546,10
514,200,188,200,10
516,150,190,150,10
517,176,194,176,10
518,345,201,345,10
519,280,201,280,10
520,572,201,572,10
521,15,118,15,7
522,264,190,264,10
524,180,213,180,10
525,150,190,150,10
526,96,190,96,10
527,77,180,77,7
528,328,213,328,10
529,200,190,200,10
530,738,213,738,10
531,468,213,468,10
532,180,173,180,7
533,1551,213,1551,10
534,28,118,28,1
536,210,201,210,10
537,756,213,756,10
540,320,190,320,10
541,1200,213,1200,10
542,216,213,216,10
544,196,208,196,10
547,437,200,437,10
548,369,190,369,10
549,1034,213,1034,10
550,400,190,400,10
553,312,194,312,10
554,190,194,190,10
555,711,213,711,10
556,176,190,176,10
557,112,201,112,10
560,231,190,231,10
561,621,190,621,10
562,32,190,32,10
563,224,190,224,10
564,100,190,100,10
566,260,188,260,10
568,120,173,120,7
569,258,200,258,10
570,224,213,224,10
573,48,188,48,10
574,12,118,12,1
575,90,173,90,7
576,156,213,156,10
580,256,190,256,10
581,270,201,270,10
582,50,190,50,10
583,108,190,108,10
585,32,173,32,7
586,105,190,105,10
588,60,173,60,7
589,90,188,90,10
590,60,190,60,10
591,184,201,184,10
592,484,213,484,10
593,456,213,456,10
594,138,190,138,10
595,330,190,330,10
597,646,213,646,10
598,432,190,432,10
599,441,190,441,10
600,396,189,396,10
602,472,213,472,10
603,96,201,96,10
604,324,213,324,10
605,2112,213,2112,10
606,426,208,426,10
607,966,213,966,10
608,680,213,680,10
609,583,213,583,10
610,702,213,702,10
611,774,190,774,10
612,216,190,216,10
613,528,190,528,10
614,410,200,410,10
615,286,188,286,10
616,480,190,480,10
617,174,201,174,10
618,154,173,154,8
619,60,190,60,10
620,803,197,803,10
621,210,213,210,10
623,549,188,549,10
624,368,213,368,10
626,360,190,360,10
627,1890,194,1890,10
629,294,190,294,10
630,320,189,320,10
631,364,213,364,10
632,300,194,300,10
633,153,190,153,10
634,160,190,160,10
635,84,190,84,10
636,7,118,7,1
637,102,213,102,10
638,238,189,238,10
639,376,188,376,10
641,90,173,90,7
642,192,190,192,10
643,240,190,240,10
644,872,201,872,10
645,396,201,396,10
646,336,213,336,10
647,140,190,140,10
648,290,201,290,10
649,84,190,84,10
650,32,118,32,7
651,36,118,36,1
652,136,189,136,10
653,660,213,660,10
654,792,190,792,10
656,603,213,603,10
659,36,118,36,1
660,700,213,700,10
661,360,213,360,10
662,256,190,256,10
663,48,173,48,7
664,42,188,42,10
667,780,201,780,10
670,78,213,78,10
671,120,188,120,10
672,121,213,121,10
673,272,213,272,10
675,40,173,40,7
678,10,173,10,1
680,90,190,90,10
681,108,173,108,7
682,360,190,360,10
683,408,191,408,10
684,24,118,24,7
685,240,190,240,10
686,900,213,900,10
687,240,188,240,10
690,132,190,132,10
691,126,190,126,10
692,448,213,448,10
693,368,201,368,10
694,110,190,110,10
695,594,190,594,10
696,1160,213,1160,10
697,1080,213,1080,10
698,808,213,808,10
699,240,200,240,10
700,350,190,350,10
701,3630,213,3630,10
702,168,213,168,10
703,2226,213,2226,10
704,315,197,315,10
705,304,190,304,10
706,413,190,413,10
707,132,202,132,10
708,324,173,324,7
709,1068,190,1068,10
710,474,213,474,10
711,890,213,890,10
712,1729,201,1729,10
713,572,190,572,10
714,1292,213,1292,10
716,731,190,731,10
717,728,201,728,10
718,528,200,528,10
719,120,190,120,10
720,468,201,468,10
721,30,173,30,1
722,1240,213,1240,10
723,230,190,230,10
725,369,213,369,10
726,270,190,270,10
727,168,189,168,10
728,828,194,828,10
730,224,190,224,10
731,132,190,132,10
732,20,118,20,1
734,48,173,48,7
735,216,173,216,7
736,490,190,490,10
737,234,190,234,10
738,448,190,448,10
739,329,208,329,10
740,448,213,448,10
741,672,213,672,10
742,250,213,250,10
743,392,213,392,10
745,15,118,15,7
747,310,190,310,10
748,675,213,675,10
749,414,194,414,10
750,504,213,504,10
751,560,194,560,10
752,150,201,150,10
753,210,213,210,7
754,336,190,336,10
755,70,188,70,10
756,120,188,120,10
757,130,190,130,10
758,138,190,138,10
760,104,190,104,10
761,424,213,424,10
762,120,190,120,10
763,96,190,96,10
764,180,190,180,10
767,192,213,192,10
768,176,188,176,10
769,120,190,120,10
770,170,190,170,10
771,196,190,196,10
772,140,201,140,10
774,195,194,195,8
777,231,188,231,10
778,126,190,126,10
779,72,190,72,10
780,150,190,150,10
782,279,190,279,10
787,147,190,147,10
789,138,201,138,10
790,260,190,260,10
791,90,190,90,10
792,120,201,120,10
793,140,190,140,10
794,288,190,288,10
796,126,200,126,10
799,45,173,45,7
800,352,213,352,10
802,228,213,228,10
803,250,213,250,10
804,144,201,144,10
805,200,190,200,10
807,108,188,108,10
809,168,190,168,10
810,387,201,387,10
812,140,213,140,10
813,196,189,196,10
814,598,213,598,10
815,696,201,696,10
816,132,190,132,10
818,128,189,128,10
819,32,173,32,7
820,648,213,648,10
821,88,190,88,10
822,442,173,442,7
824,654,213,654,10
825,250,190,250,10
826,400,201,400,10
827,216,213,216,7
828,1188,213,1188,10
830,77,190,77,10
831,434,204,434,10
832,760,190,760,10
833,2548,201,2548,10
834,70,190,70,10
835,90,188,90,10
836,444,190,444,10
837,204,190,204,10
838,780,190,780,10
839,26,118,26,1
840,1190,213,1190,10
844,114,201,114,10
845,140,190,140,10
846,3330,213,3330,10
848,216,190,216,10
849,182,190,182,10
850,168,201,168,10
851,91,190,91,10
852,440,213,440,10
853,185,213,185,10
854,204,190,204,10
855,1863,190,1863,10
856,272,201,272,10
857,498,213,498,10
858,1360,213,1360,10
859,258,190,258,10
860,585,213,585,10
861,140,190,140,10
862,156,189,156,10
863,891,213,891,10
864,288,190,288,10
865,162,201,162,10
866,104,173,104,7
867,110,173,110,7
868,798,213,798,10
869,552,190,552,10
870,1729,213,1729,10
871,72,190,72,10
872,30,118,30,7
874,90,190,90,10
875,72,173,72,6
876,517,201,517,10
877,266,190,266,10
878,143,190,143,10
880,174,200,174,10
881,232,213,232,10
883,84,190,84,10
884,186,201,186,10
885,217,190,217,10
886,144,194,144,10
887,185,190,185,10
888,108,190,108,10
893,405,213,405,10
894,184,190,184,10
895,165,190,165,10
899,340,190,340,10
900,336,194,336,10
904,216,190,216,10
906,81,189,81,6
907,595,213,595,10
908,970,213,970,10
909,64,173,64,7
910,156,201,156,10
911,1425,213,1425,10
913,360,201,360,10
914,368,213,368,10
915,240,190,240,10
917,584,213,584,10
918,280,213,280,10
919,266,201,266,10
920,1230,213,1230,10
921,230,188,230,10
922,320,190,320,10
923,319,201,319,10
924,245,213,245,10
925,632,213,632,10
926,378,190,378,10
927,406,190,406,10
928,815,201,815,10
929,90,201,90,10
930,342,190,342,10
931,63,201,63,10
932,216,190,216,10
934,2280,208,2280,10
935,4425,213,4425,10
936,300,190,300,10
937,1595,201,1595,10
938,222,190,222,10
939,30,118,30,1
940,342,189,342,7
941,1278,190,1278,10
942,533,213,533,10
945,108,190,108,10
946,1428,201,1428,10
947,376,201,376,10
948,135,190,135,10
949,150,201,150,10
950,187,201,187,10
953,72,190,72,10
955,112,188,112,10
956,220,189,220,10
957,180,188,180,10
958,970,201,970,10
959,588,197,588,10
960,176,190,176,10
962,728,200,728,10
963,187,213,187,10
964,285,189,285,7
965,324,190,324,10
966,1458,213,1458,10
967,1089,213,1089,10
968,270,213,270,10
971,170,190,170,10
972,594,213,594,10
973,264,188,264,10
974,336,201,336,10
975,637,213,637,10
976,150,188,150,10
977,402,201,402,10
978,200,190,200,10
979,133,201,133,10
980,238,173,238,7
981,240,190,240,10
982,104,190,104,10
983,170,173,170,7
984,392,190,392,10
985,112,190,112,10
986,55,190,55,10
987,48,173,48,7
991,91,190,91,10
992,84,188,84,10
993,440,209,440,10
994,196,213,196,10
995,175,213,175,10
997,702,213,702,10
999,171,173,171,8
1000,324,213,324,10
1001,170,188,170,10
1003,540,213,540,10
1004,360,213,360,10
1006,180,189,180,10
1007,80,190,80,10
1008,119,213,119,10
1009,64,173,64,7
1010,322,197,322,10
1012,210,213,210,10
1014,60,190,60,10
1018,252,201,252,10
1019,130,190,130,10
1021,6,118,6,1
1023,144,190,144,10
1024,369,215,369,10
1025,18,118,18,7
1026,351,190,351,10
1027,2772,213,2772,10
1028,282,190,282,10
1030,682,213,682,10
1031,2189,213,2189,10
1032,294,214,294,8
1033,1518,213,1518,10
1035,1332,213,1332,10
1037,308,190,308,10
1038,798,190,798,10
1039,497,213,497,10
1040,1032,190,1032,10
1041,288,173,288,7
1043,510,200,510,10
1044,754,190,754,10
1046,352,190,352,10
1047,460,190,460,10
1048,90,190,90,10
1050,180,190,180,10
1051,224,190,224,10
1052,560,190,560,10
1053,260,190,260,10
1054,578,201,578,10
1055,432,190,432,10
1056,1638,201,1638,10
1058,112,190,112,10
1059,672,201,672,10
1061,336,201,336,10
1062,1840,201,1840,10
1063,696,189,696,10
1064,112,190,112,10
1065,1730,213,1730,10
1066,1020,189,1020,10
1067,285,190,285,10
1068,160,194,160,10
1069,273,190,273,10
1070,24,118,24,1
1072,1590,213,1590,10
1073,416,190,416,10
1074,144,213,144,10
1075,108,188,108,10
1076,540,213,540,10
1077,256,213,256,10
1078,190,190,190,10
1079,210,213,210,10
1080,171,213,171,10
1081,368,201,368,10
1082,110,190,110,10
1083,120,213,120,10
1084,370,208,370,10
1085,161,190,161,10
1086,98,118,98,7
1087,612,190,612,10
1090,264,190,264,10
1091,279,213,279,10
1096,792,190,792,10
1098,64,190,64,10
1099,490,213,490,10
1102,329,201,329,10
1105,660,213,660,10
1106,25,118,25,1
1107,49,173,49,7
1109,387,213,387,10
1111,354,213,354,10
1113,675,201,675,10
1115,85,199,85,10
1118,100,190,100,10
1120,318,194,318,11
1121,48,173,48,6
1124,90,190,90,10
1127,95,201,95,10
1129,594,213,594,10
1130,350,213,350,10
1131,1010,213,1010,10
1132,240,213,240,10
1133,120,190,120,10
1134,530,213,530,10
1135,1656,197,1656,10
1138,403,213,403,10
1139,680,190,680,10
1140,500,190,500,10
1141,260,190,260,10
1142,176,190,176,10
1144,306,213,306,10
1145,204,213,204,10
1146,312,201,312,8
1147,22,20,22,1
1148,504,213,504,10
1149,385,190,385,10
1150,612,213,612,10
1151,792,213,792,10
1152,351,190,351,10
1153,392,173,392,7
1154,400,201,400,10
1155,756,201,756,10
1156,960,213,960,10
1158,140,213,140,10
1160,312,190,312,10
1162,364,190,364,10
1163,138,190,138,10
1164,603,213,603,10
1165,624,197,624,10
1166,1536,213,1536,10
1169,1140,209,1140,10
1171,7,118,7,1
1172,545,213,545,10
1173,132,190,132,10
1174,160,200,160,10
1175,216,189,216,10
1176,399,200,399,10
1177,672,190,672,10
1178,580,190,580,10
1179,414,213,414,10
1180,476,213,476,10
1181,68,173,68,7
1183,492,201,492,10
1184,60,201,60,10
1185,120,189,120,10
1186,407,200,407,10
1187,195,190,195,10
1188,36,173,36,1
1189,56,173,56,10
1190,144,190,144,10
1191,77,190,77,10
1192,704,213,704,10
1193,260,213,260,10
1194,126,190,126,10
1195,168,190,168,10
1196,192,201,192,10
1197,140,190,140,10
1198,168,201,168,10
1199,152,189,152,7
1200,415,213,415,10
1201,576,213,576,10
1202,290,200,290,10
1203,288,189,288,10
1204,410,208,410,10
1205,240,213,240,10
1206,192,201,192,10
1207,500,201,500,10
1209,60,190,60,10
1210,200,190,200,10
1211,594,194,594,10
1212,248,190,248,10
1213,144,201,144,10
1214,88,190,88,10
1215,192,201,192,10
1216,90,201,90,10
1218,385,201,385,10
1223,72,188,72,10
1224,108,190,108,10
1225,168,173,168,7
1227,552,200,552,10
1229,72,188,72,10
1230,24,118,24,7
1231,195,188,195,10
1232,351,209,351,10
1233,160,213,160,10
1234,75,201,75,10
1235,1540,190,1540,10
1236,154,190,154,10
1237,108,188,108,10
1238,112,173,112,7
1240,100,190,100,10
1241,104,190,104,10
1242,120,190,120,10
1243,320,213,320,10
1246,400,213,400,10
1247,64,173,64,7
1248,297,190,297,10
1249,144,189,144,10
1250,210,201,210,10
1251,220,189,220,7
1252,210,213,210,10
1253,65,189,65,7
1254,150,201,150,10
1256,161,213,161,10
1257,80,190,80,10
1258,380,213,380,10
1259,96,190,96,10
1261,480,190,480,10
1264,112,201,112,10
1265,420,213,420,10
1266,224,173,224,7
1267,1384,213,1384,10
1268,790,190,790,10
1269,507,213,507,10
1270,140,213,140,8
1271,2520,213,2520,10
1275,418,213,418,10
1277,936,213,936,10
1278,575,213,575,10
1279,72,190,72,10
1280,490,213,490,10
1281,168,190,168,10
1282,182,213,182,10
1283,138,190,138,10
1285,870,213,870,10
1286,784,189,784,10
1287,350,213,350,10
1288,78,189,78,7
1289,740,213,740,10
1291,270,190,270,10
1292,1200,213,1200,10
1293,390,213,390,10
1294,1066,213,1066,10
1295,65,173,65,7
1296,472,201,472,10
1297,864,201,864,10
1298,340,190,340,10
1299,96,173,96,7
1301,616,213,616,10
1302,256,189,256,10
1303,220,190,220,10
1305,324,190,324,10
1306,323,201,323,10
1307,387,189,387,10
1308,360,190,360,10
1309,132,189,132,10
1310,161,190,161,10
1311,468,203,468,10
1313,132,213,132,10
1314,144,200,144,10
1315,585,190,585,10
1316,100,190,100,10
1317,520,213,520,10
1318,91,173,91,7
1319,198,173,198,7
1320,450,213,450,10
1321,903,213,903,10
1322,224,209,224,10
1323,680,213,680,10
1324,208,190,208,10
1325,637,190,637,10
1326,100,190,100,10
1327,711,201,711,10
1328,160,208,160,10
1329,210,190,210,10
1330,120,188,120,10
1331,100,190,100,10
1333,376,190,376,10
1334,855,201,855,10
1335,180,190,180,10
1336,72,118,72,1
1338,136,194,136,10
1339,860,208,860,10
1340,1260,213,1260,10
1342,318,213,318,10
1344,680,190,680,10
1345,48,173,48,7
1347,115,190,115,10
1350,70,190,70,10
1352,565,213,565,10
1354,162,190,162,10
1355,217,213,217,10
1356,612,201,612,10
1357,342,200,342,10
1358,119,213,119,10
1359,98,190,98,10
1360,343,190,343,10
1361,192,188,192,10
1362,414,201,414,10
1364,210,190,210,10
1365,60,190,60,10
1366,700,213,700,10
1367,144,173,144,7
1368,504,213,504,10
1371,774,213,774,10
1372,120,213,120,10
1373,144,188,144,10
1374,112,201,112,10
1375,60,190,60,10
1376,224,188,224,10
1377,156,188,156,10
1378,28,118,28,6
1380,84,213,84,10
1381,250,188,250,10
1382,384,190,384,10
1383,154,190,154,10
1384,7,118,7,1
1386,88,190,88,10
1387,9,118,9,1
1388,288,190,288,10
1389,100,190,100,10
1390,105,190,105,10
1391,200,201,200,10
1392,140,213,140,10
1393,396,190,396,10
1394,2328,213,2328,10
1395,693,213,693,10
1396,1360,213,1360,10
1399,540,201,540,10
1400,99,213,99,10
1401,486,190,486,10
1402,418,201,418,10
1403,1070,213,1070,10
1404,1144,213,1144,10
1405,640,213,640,10
1407,360,201,360,10
1409,2064,190,2064,10
1410,1793,213,1793,10
1411,288,190,288,10
1413,608,213,608,10
1415,322,213,322,10
1416,60,190,60,10
1417,540,213,540,10
1418,780,201,780,10
1420,960,200,960,10
1421,952,190,952,10
1422,340,190,340,10
1423,228,200,228,10
1424,400,190,400,10
1425,342,213,342,10
1426,216,213,216,10
1427,261,201,261,10
1428,1260,194,1260,10
1429,539,190,539,10
1430,240,190,240,10
1431,848,188,848,10
1432,144,190,144,10
1433,1484,190,1484,10
1435,324,190,324,10
1436,636,190,636,10
1437,390,213,390,10
1438,441,194,441,10
1439,942,213,942,10
1441,520,213,520,10
1442,351,190,351,10
1443,378,213,378,10
1444,660,190,660,10
1445,320,201,320,10
1446,152,201,152,10
1448,153,189,153,10
1449,168,188,168,10
1451,150,173,150,7
1452,2470,213,2470,10
1453,28,173,28,1
1456,180,190,180,10
1458,252,213,252,10
1459,216,201,216,10
1460,80,173,80,7
1461,319,201,319,10
1462,682,213,682,10
1463,1323,190,1323,11
1464,420,201,420,10
1465,50,173,50,7
1466,126,190,126,10
1467,180,190,180,10
1468,480,213,480,10
1470,95,173,95,7
1472,168,190,168,10
1473,497,213,497,10
1474,180,188,180,10
1476,588,213,588,10
1477,102,188,102,10
1478,553,173,553,7
1479,50,173,50,1
1480,370,209,370,10
1481,280,213,280,10
1483,320,213,320,10
1484,171,190,171,10
1485,160,190,160,10
1486,228,190,228,10
1487,80,213,80,10
1488,252,201,252,10
1489,610,213,610,10
1490,180,190,180,10
1491,110,173,110,7
1492,110,213,110,10
1493,180,190,180,10
1496,40,173,40,1
1497,110,190,110,10
1498,72,190,72,10
1500,190,213,190,10
1501,153,190,153,10
1502,60,190,60,10
1503,128,190,128,10
1504,300,201,300,10
1509,207,202,207,10
1510,120,190,120,10
1511,140,213,140,10
1512,210,213,210,10
1515,50,190,50,10
1516,176,188,176,10
1517,574,213,574,10
1520,50,190,50,10
1522,105,173,105,6
1525,208,201,208,10
1526,24,173,24,7
1528,216,213,216,10
1529,2052,213,2052,10
1530,117,189,117,10
1533,665,190,665,10
1535,385,213,385,10
1536,120,190,120,10
1537,112,173,112,8
1539,330,190,330,10
1540,658,213,658,10
1541,320,213,320,10
1542,1130,213,1130,10
1543,1280,208,1280,10
1545,1080,213,1080,10
1546,594,213,594,10
1547,60,110,60,7
1548,78,188,78,10
1550,112,190,112,10
1552,660,190,660,10
1554,1892,213,1892,10
1555,110,190,110,10
1556,192,213,192,10
1557,396,190,396,10
1558,171,190,171,10
1559,168,201,168,10
1561,54,173,54,6
1562,680,189,680,10
1564,2115,215,2115,10
1565,30,118,30,7
1566,90,190,90,10
1567,135,190,135,10
1568,390,190,390,10
1570,72,190,72,10
1572,33,118,33,1
1573,505,213,505,10
1574,819,213,819,10
1575,360,190,360,10
1576,91,190,91,10
1577,972,189,972,10
1578,104,173,104,7
1579,168,190,168,10
1580,195,194,195,8
1581,1440,213,1440,10
1582,196,188,196,10
1583,390,190,390,10
1584,1854,201,1854,10
1586,1224,209,1224,10
1588,836,190,836,10
1589,559,213,559,10
1591,220,190,220,10
1592,804,197,804,10
1593,728,213,728,10
1594,216,190,216,10
1595,1248,194,1248,10
1596,144,188,144,10
1597,572,213,572,10
1598,486,213,486,10
1599,924,201,924,10
1600,576,197,576,10
1601,900,201,900,10
1602,450,213,450,10
1603,1155,213,1155,10
1604,1260,213,1260,10
1606,1960,213,1960,10
1609,710,208,710,10
1611,104,173,104,7
1612,132,190,132,10
1613,343,190,343,10
1614,27,20,27,1
1615,308,189,308,7
1616,18,118,18,7
1617,855,190,855,10
1618,180,190,180,10
1619,117,201,117,10
1621,242,190,242,10
1622,180,197,180,10
1623,287,190,287,10
1624,80,173,80,7
1625,296,190,296,10
1626,198,190,198,10
1627,720,190,720,10
1628,60,190,60,10
1629,850,213,850,10
1630,783,190,783,10
1631,112,201,112,10
1632,192,189,192,7
1633,426,213,426,10
1634,80,202,80,10
1635,220,213,220,10
1636,1092,194,1092,10
1637,175,190,175,10
1638,235,201,235,10
1639,340,213,340,10
1641,180,190,180,10
1642,120,190,120,10
1643,70,190,70,10
1644,750,213,750,10
1645,506,213,506,10
1646,297,190,297,10
1647,98,201,98,10
1648,96,190,96,10
1650,180,190,180,10
1654,152,190,152,10
1656,230,197,230,10
1657,165,190,165,10
1658,340,188,340,10
1660,630,213,630,10
1661,152,213,152,10
1662,395,190,395,10
1663,120,200,120,10
1664,75,201,75,10
1666,153,201,153,10
1670,904,201,904,10
1671,102,190,102,10
1673,198,190,198,10
1675,84,188,84,10
1676,72,173,72,7
1677,312,190,312,10
1678,72,173,72,7
1679,440,194,440,10
1680,112,190,112,10
1681,378,197,378,10
1682,70,190,70,10
1683,546,188,546,10
1684,408,213,408,10
1686,220,173,220,7
1687,140,200,140,7
