userid,bank_income_sum,bank_outcome_sum,bank_amountCha,bank_income_amta,bank_outcome_amta,bank_amtaCha,bank_type_count,bank_type_outcomeCount,bank_type_incomeCount
93,1218.0,2962.0,1745.0,94.0,228.0,134.0,372,278,94
94,1172.0,2015.0,844.0,90.0,155.0,65.0,238,156,82
95,1321.0,4482.0,3161.0,102.0,345.0,243.0,495,389,106
97,3179.0,3687.0,508.0,245.0,284.0,39.0,594,329,265
101,2633.0,4143.0,1509.0,302.0,319.0,17.0,574,384,190
102,2799.0,9565.0,6767.0,233.0,797.0,564.0,1051,851,200
103,568.0,1653.0,1085.0,142.0,413.0,271.0,192,151,41
104,4362.0,7494.0,3132.0,336.0,591.0,256.0,950,627,323
105,4863.0,15103.0,10241.0,374.0,1162.0,788.0,1509,1166,343
106,981.0,1664.0,683.0,82.0,139.0,57.0,212,137,75
108,2746.0,6479.0,3733.0,305.0,720.0,415.0,786,565,221
109,1867.0,4569.0,2702.0,187.0,457.0,270.0,534,389,145
110,962.0,3714.0,2752.0,74.0,286.0,212.0,385,316,69
111,2745.0,5374.0,2628.0,229.0,448.0,219.0,730,493,237
112,1048.0,1403.0,355.0,131.0,175.0,44.0,232,134,98
113,2284.0,4718.0,2434.0,228.0,472.0,243.0,637,435,202
114,3966.0,6315.0,2349.0,441.0,702.0,261.0,840,528,312
116,6974.0,8099.0,1125.0,536.0,623.0,87.0,1155,664,491
117,3170.0,7897.0,4727.0,244.0,607.0,364.0,1012,748,264
118,1434.0,3221.0,1787.0,110.0,248.0,137.0,388,284,104
119,4401.0,6363.0,1962.0,339.0,489.0,151.0,804,481,323
121,1588.0,3413.0,1825.0,134.0,263.0,128.0,472,344,128
128,4059.0,6180.0,2121.0,312.0,475.0,163.0,863,567,296
130,7051.0,11009.0,3958.0,588.0,917.0,330.0,1461,940,521
131,986.0,2073.0,1087.0,141.0,296.0,155.0,238,163,75
132,5340.0,6618.0,1278.0,411.0,509.0,98.0,965,564,401
133,2602.0,4731.0,2129.0,434.0,789.0,355.0,674,461,213
134,2485.0,5516.0,3031.0,276.0,613.0,337.0,633,448,185
135,4071.0,8933.0,4862.0,814.0,1787.0,972.0,1090,781,309
137,2068.0,3474.0,1406.0,159.0,267.0,108.0,503,334,169
141,1144.0,2390.0,1247.0,88.0,184.0,96.0,318,222,96
142,1351.0,2548.0,1197.0,113.0,212.0,100.0,333,224,109
143,1061.0,2015.0,954.0,106.0,220.0,114.0,293,194,99
144,674.0,1476.0,802.0,56.0,123.0,67.0,191,133,58
146,6033.0,23075.0,17042.0,503.0,1923.0,1420.0,2625,2133,492
148,1322.0,2955.0,1633.0,264.0,591.0,327.0,345,248,97
149,8274.0,20022.0,11747.0,1034.0,2503.0,1468.0,2100,1556,544
151,1459.0,3545.0,2086.0,112.0,273.0,160.0,431,316,115
152,2076.0,2403.0,327.0,192.0,225.0,33.0,372,211,161
153,938.0,2966.0,2027.0,72.0,228.0,156.0,342,264,78
155,202.0,635.0,433.0,31.0,79.0,48.0,76,57,19
156,2445.0,10280.0,7835.0,188.0,791.0,603.0,1242,1028,214
159,1620.0,3890.0,2270.0,135.0,324.0,189.0,441,325,116
163,6027.0,10218.0,4192.0,464.0,786.0,322.0,1354,900,454
164,1545.0,4061.0,2515.0,193.0,508.0,314.0,486,369,117
165,1277.0,8759.0,7482.0,98.0,674.0,576.0,955,848,107
166,2155.0,2532.0,377.0,166.0,195.0,29.0,354,194,160
168,633.0,1610.0,977.0,50.0,124.0,75.0,207,155,52
169,1953.0,4705.0,2752.0,325.0,887.0,561.0,608,441,167
172,1123.0,1954.0,832.0,86.0,150.0,64.0,239,155,84
173,803.0,2924.0,2120.0,78.0,244.0,166.0,312,249,63
175,290.0,464.0,174.0,29.0,48.0,19.0,63,39,24
177,1314.0,3522.0,2208.0,146.0,391.0,245.0,461,359,102
178,1718.0,3941.0,2224.0,143.0,328.0,185.0,467,335,132
179,2454.0,9183.0,6729.0,196.0,706.0,510.0,1024,829,195
180,941.0,1554.0,613.0,72.0,120.0,47.0,214,138,76
181,1354.0,1833.0,478.0,195.0,262.0,67.0,248,147,101
182,1887.0,4562.0,2675.0,168.0,380.0,212.0,596,441,155
183,2110.0,5752.0,3642.0,234.0,639.0,405.0,724,559,165
184,1567.0,5301.0,3733.0,157.0,530.0,373.0,669,529,140
185,2910.0,6352.0,3443.0,224.0,489.0,265.0,698,502,196
186,2476.0,4422.0,1946.0,413.0,737.0,324.0,601,392,209
187,5500.0,16901.0,11401.0,501.0,1536.0,1035.0,2035,1578,457
189,4551.0,7483.0,2931.0,379.0,624.0,244.0,970,617,353
190,1323.0,1828.0,505.0,102.0,141.0,39.0,245,143,102
191,929.0,2033.0,1104.0,87.0,185.0,98.0,283,207,76
192,612.0,1500.0,888.0,61.0,150.0,89.0,182,134,48
193,2257.0,3855.0,1598.0,174.0,301.0,127.0,473,304,169
195,693.0,2007.0,1314.0,58.0,167.0,109.0,254,196,58
196,1998.0,5281.0,3283.0,166.0,440.0,274.0,636,488,148
197,2573.0,4631.0,2058.0,214.0,386.0,171.0,637,434,203
198,4522.0,5693.0,1171.0,348.0,438.0,90.0,846,490,356
200,4759.0,8701.0,3941.0,366.0,669.0,303.0,1019,676,343
201,1059.0,2133.0,1074.0,81.0,164.0,83.0,290,203,87
206,375.0,792.0,418.0,94.0,198.0,104.0,98,68,30
209,4716.0,6324.0,1608.0,363.0,486.0,124.0,784,474,310
210,3275.0,5751.0,2476.0,412.0,442.0,31.0,826,557,269
211,5914.0,11709.0,5795.0,455.0,901.0,446.0,1547,1070,477
214,820.0,1845.0,1026.0,63.0,142.0,79.0,223,158,65
215,4171.0,9758.0,5588.0,321.0,751.0,430.0,1270,918,352
216,164.0,838.0,674.0,19.0,221.0,202.0,98,84,14
217,1327.0,2878.0,1550.0,190.0,411.0,221.0,324,230,94
218,1949.0,4987.0,3038.0,151.0,384.0,233.0,576,419,157
219,3009.0,3884.0,875.0,251.0,324.0,73.0,633,370,263
224,690.0,1862.0,1173.0,57.0,185.0,127.0,226,166,60
225,1165.0,3027.0,1862.0,97.0,252.0,155.0,307,226,81
229,1009.0,4373.0,3364.0,92.0,398.0,306.0,537,451,86
230,1042.0,2413.0,1371.0,92.0,186.0,93.0,290,209,81
231,1580.0,2418.0,837.0,527.0,806.0,279.0,291,183,108
233,177.0,328.0,152.0,44.0,127.0,83.0,43,28,15
234,1175.0,2727.0,1552.0,98.0,210.0,112.0,349,250,99
235,2057.0,5193.0,3136.0,187.0,472.0,285.0,695,518,177
238,2683.0,5293.0,2611.0,206.0,407.0,201.0,621,423,198
240,2794.0,6920.0,4126.0,698.0,1730.0,1032.0,846,625,221
242,998.0,2813.0,1815.0,93.0,216.0,124.0,336,257,79
245,1127.0,1460.0,333.0,102.0,133.0,30.0,216,121,95
246,9390.0,18398.0,9008.0,939.0,1840.0,901.0,2100,1502,598
249,2049.0,6921.0,4872.0,171.0,577.0,406.0,783,619,164
250,574.0,1721.0,1147.0,53.0,143.0,90.0,230,179,51
252,379.0,707.0,328.0,29.0,54.0,25.0,94,62,32
254,1772.0,3210.0,1438.0,136.0,247.0,111.0,381,257,124
256,2739.0,6198.0,3459.0,274.0,620.0,346.0,679,498,181
257,662.0,1702.0,1040.0,73.0,142.0,68.0,242,176,66
258,2370.0,5398.0,3028.0,182.0,415.0,233.0,688,491,197
260,524.0,1769.0,1244.0,87.0,295.0,207.0,222,176,46
261,1258.0,2107.0,848.0,126.0,211.0,85.0,308,204,104
262,348.0,1074.0,726.0,32.0,98.0,66.0,137,109,28
263,1184.0,3732.0,2548.0,91.0,287.0,196.0,397,315,82
264,363.0,381.0,19.0,121.0,127.0,6.0,63,35,28
266,2422.0,7168.0,4746.0,188.0,551.0,363.0,800,610,190
269,328.0,694.0,366.0,47.0,99.0,52.0,94,66,28
270,677.0,2180.0,1503.0,113.0,363.0,250.0,237,184,53
271,499.0,1068.0,569.0,166.0,356.0,190.0,136,96,40
273,1235.0,1662.0,427.0,95.0,128.0,33.0,261,151,110
274,3810.0,6592.0,2782.0,293.0,507.0,214.0,840,572,268
276,3922.0,5357.0,1435.0,302.0,412.0,110.0,734,433,301
278,680.0,1460.0,780.0,57.0,150.0,94.0,189,134,55
279,2247.0,3918.0,1672.0,173.0,301.0,129.0,499,329,170
281,1803.0,5168.0,3365.0,150.0,431.0,280.0,621,479,142
282,1825.0,2411.0,587.0,152.0,201.0,49.0,355,210,145
283,159.0,317.0,158.0,32.0,63.0,32.0,38,26,12
284,1149.0,2858.0,1709.0,88.0,223.0,135.0,380,281,99
285,732.0,2202.0,1470.0,58.0,169.0,111.0,267,203,64
287,757.0,1554.0,796.0,252.0,518.0,265.0,211,147,64
288,3184.0,5274.0,2090.0,398.0,659.0,261.0,716,474,242
290,1734.0,5385.0,3651.0,133.0,414.0,281.0,614,484,130
293,1100.0,4580.0,3480.0,92.0,382.0,290.0,521,428,93
295,970.0,3366.0,2396.0,88.0,306.0,218.0,384,306,78
296,2686.0,3835.0,1149.0,207.0,295.0,88.0,476,292,184
298,1000.0,6243.0,5243.0,111.0,695.0,584.0,680,595,85
299,8178.0,18893.0,10714.0,1168.0,2699.0,1531.0,2100,1541,559
301,9227.0,17726.0,8499.0,769.0,1477.0,708.0,2166,1484,682
303,3525.0,6292.0,2767.0,343.0,484.0,141.0,932,655,277
307,2302.0,13143.0,10841.0,192.0,1095.0,903.0,1362,1179,183
308,4211.0,10678.0,6468.0,324.0,821.0,498.0,1265,942,323
310,6547.0,10223.0,3676.0,504.0,786.0,283.0,1498,1004,494
311,1086.0,1510.0,424.0,109.0,153.0,44.0,230,143,87
315,1365.0,2228.0,863.0,105.0,171.0,66.0,310,199,111
316,8564.0,12215.0,3651.0,659.0,940.0,281.0,1584,956,628
318,400.0,2114.0,1713.0,39.0,192.0,153.0,244,210,34
320,3712.0,7923.0,4212.0,337.0,720.0,383.0,929,649,280
321,6731.0,24869.0,18138.0,534.0,1913.0,1379.0,2942,2377,565
323,1161.0,2359.0,1198.0,89.0,181.0,92.0,346,242,104
326,3229.0,8702.0,5473.0,248.0,669.0,421.0,928,695,233
329,1736.0,3637.0,1901.0,434.0,909.0,475.0,393,278,115
333,1186.0,2113.0,927.0,132.0,235.0,103.0,292,188,104
334,992.0,1420.0,428.0,76.0,109.0,33.0,182,109,73
337,476.0,751.0,275.0,44.0,65.0,21.0,103,63,40
338,2801.0,5197.0,2396.0,233.0,433.0,200.0,685,462,223
339,2387.0,5273.0,2886.0,184.0,406.0,222.0,598,424,174
340,394.0,1574.0,1180.0,66.0,303.0,237.0,187,153,34
342,4252.0,8560.0,4308.0,330.0,658.0,328.0,1024,712,312
343,870.0,1265.0,395.0,67.0,97.0,30.0,187,119,68
345,2276.0,6156.0,3880.0,175.0,474.0,298.0,720,550,170
346,2154.0,4907.0,2753.0,308.0,701.0,393.0,621,467,154
348,1917.0,3969.0,2052.0,240.0,496.0,256.0,506,354,152
349,422.0,814.0,392.0,38.0,74.0,36.0,114,82,32
351,1017.0,3779.0,2763.0,203.0,756.0,553.0,531,447,84
353,12603.0,29552.0,16949.0,976.0,2273.0,1297.0,3170,2286,884
354,898.0,1243.0,345.0,76.0,96.0,20.0,166,99,67
356,2126.0,5929.0,3803.0,168.0,456.0,289.0,667,499,168
357,716.0,1089.0,373.0,55.0,84.0,29.0,138,86,52
359,3764.0,5865.0,2101.0,290.0,451.0,162.0,783,493,290
360,458.0,1926.0,1468.0,35.0,148.0,113.0,229,190,39
363,2187.0,4237.0,2050.0,168.0,326.0,158.0,492,331,161
365,4518.0,8710.0,4192.0,348.0,670.0,322.0,1059,730,329
367,2463.0,11022.0,8559.0,189.0,848.0,658.0,1239,1044,195
372,342.0,797.0,455.0,49.0,155.0,106.0,111,77,34
373,1331.0,3433.0,2101.0,111.0,286.0,175.0,437,322,115
374,4818.0,5328.0,510.0,371.0,410.0,39.0,761,416,345
375,1338.0,1933.0,594.0,191.0,276.0,85.0,305,183,122
376,7601.0,17361.0,9760.0,633.0,1447.0,813.0,2051,1475,576
377,1860.0,3630.0,1770.0,155.0,303.0,147.0,472,318,154
379,4275.0,10747.0,6472.0,329.0,827.0,498.0,1377,1040,337
380,1524.0,2286.0,761.0,127.0,190.0,63.0,301,191,110
383,944.0,2170.0,1226.0,118.0,271.0,153.0,275,197,78
385,1066.0,2211.0,1145.0,87.0,170.0,83.0,287,203,84
386,5196.0,11213.0,6017.0,400.0,863.0,463.0,1298,906,392
387,194.0,262.0,68.0,48.0,66.0,17.0,38,21,17
388,1122.0,3641.0,2519.0,90.0,280.0,190.0,428,333,95
389,6017.0,17385.0,11368.0,752.0,2173.0,1421.0,2100,1650,450
392,4555.0,12444.0,7889.0,350.0,957.0,607.0,1499,1145,354
393,4761.0,13457.0,8695.0,366.0,1035.0,669.0,1533,1156,377
394,6028.0,19870.0,13842.0,753.0,2484.0,1730.0,2100,1687,413
395,1436.0,4030.0,2594.0,110.0,310.0,200.0,489,373,116
396,3364.0,7613.0,4249.0,561.0,1269.0,708.0,1029,720,309
397,1297.0,5263.0,3966.0,109.0,439.0,329.0,695,580,115
398,1420.0,3049.0,1629.0,284.0,610.0,326.0,382,269,113
402,2268.0,7271.0,5003.0,174.0,559.0,385.0,890,705,185
408,2561.0,3292.0,732.0,197.0,253.0,56.0,429,251,178
409,2447.0,4412.0,1965.0,188.0,339.0,151.0,475,313,162
410,8472.0,16920.0,8448.0,847.0,1692.0,845.0,2000,1360,640
411,7477.0,12287.0,4809.0,575.0,945.0,370.0,1522,1013,509
412,3660.0,6913.0,3253.0,282.0,532.0,250.0,824,554,270
413,316.0,687.0,371.0,30.0,59.0,29.0,78,53,25
415,1671.0,4192.0,2520.0,150.0,322.0,172.0,492,364,128
417,2878.0,10905.0,8027.0,480.0,1817.0,1338.0,1213,983,230
419,2460.0,3118.0,657.0,351.0,445.0,94.0,567,327,240
420,2645.0,5731.0,3086.0,220.0,478.0,257.0,694,490,204
421,2486.0,8678.0,6193.0,191.0,668.0,476.0,956,771,185
422,4072.0,7169.0,3097.0,313.0,551.0,238.0,936,603,333
423,280.0,405.0,125.0,47.0,68.0,21.0,62,37,25
426,2106.0,3074.0,967.0,162.0,236.0,74.0,496,311,185
427,12961.0,19496.0,6535.0,997.0,1500.0,503.0,2253,1372,881
429,1798.0,2878.0,1080.0,180.0,288.0,108.0,383,241,142
430,810.0,1389.0,579.0,90.0,154.0,64.0,176,113,63
431,2323.0,3778.0,1454.0,194.0,315.0,121.0,493,311,182
433,1715.0,4708.0,2993.0,143.0,392.0,249.0,562,424,138
434,710.0,2122.0,1411.0,59.0,177.0,118.0,248,191,57
435,5866.0,14746.0,8880.0,451.0,1134.0,683.0,1750,1282,468
436,120.0,260.0,139.0,75.0,87.0,11.0,31,21,10
437,4172.0,5350.0,1178.0,321.0,412.0,91.0,711,408,303
441,183.0,257.0,74.0,30.0,43.0,12.0,40,23,17
443,1309.0,2678.0,1369.0,139.0,224.0,85.0,383,275,108
444,415.0,731.0,316.0,40.0,66.0,26.0,107,71,36
447,1114.0,166.0,-949.0,215.0,25.0,-190.0,113,13,100
451,10252.0,16686.0,6433.0,1465.0,2384.0,919.0,2000,1262,738
452,1854.0,3825.0,1971.0,154.0,319.0,164.0,453,308,145
454,2994.0,4712.0,1718.0,230.0,362.0,132.0,629,422,207
455,255.0,856.0,601.0,64.0,214.0,150.0,99,78,21
456,2818.0,10789.0,7972.0,403.0,1541.0,1139.0,1284,1070,214
458,1770.0,3946.0,2175.0,136.0,306.0,169.0,514,358,156
459,2153.0,5622.0,3469.0,215.0,562.0,347.0,670,501,169
460,1360.0,4317.0,2957.0,136.0,432.0,296.0,548,431,117
461,4376.0,5382.0,1006.0,398.0,489.0,91.0,730,427,303
463,647.0,1791.0,1144.0,108.0,298.0,191.0,220,166,54
464,4878.0,8980.0,4102.0,375.0,691.0,316.0,1130,746,384
465,1125.0,5784.0,4659.0,113.0,578.0,466.0,644,553,91
467,585.0,1452.0,867.0,45.0,112.0,67.0,168,123,45
468,3767.0,9168.0,5401.0,290.0,705.0,415.0,1073,811,262
469,1840.0,5087.0,3247.0,153.0,424.0,271.0,577,442,135
470,2420.0,5646.0,3226.0,186.0,434.0,248.0,670,482,188
473,1227.0,2850.0,1623.0,112.0,261.0,149.0,429,320,109
474,529.0,1381.0,852.0,48.0,126.0,77.0,173,130,43
475,1346.0,3693.0,2347.0,269.0,739.0,469.0,442,338,104
479,3301.0,6490.0,3189.0,254.0,499.0,245.0,805,547,258
480,151.0,480.0,329.0,22.0,60.0,38.0,54,41,13
481,1738.0,4726.0,2988.0,248.0,675.0,427.0,469,366,103
482,1006.0,2587.0,1580.0,84.0,216.0,132.0,312,225,87
483,1235.0,2274.0,1039.0,154.0,284.0,130.0,292,195,97
490,4826.0,5849.0,1022.0,402.0,487.0,85.0,877,483,394
493,692.0,1882.0,1190.0,56.0,145.0,88.0,193,143,50
494,10305.0,17923.0,7619.0,859.0,1494.0,635.0,2298,1505,793
496,2957.0,5452.0,2495.0,227.0,419.0,192.0,679,466,213
498,1114.0,2918.0,1804.0,113.0,224.0,111.0,395,293,102
499,1044.0,5067.0,4023.0,116.0,563.0,447.0,558,472,86
501,1306.0,3423.0,2117.0,187.0,489.0,302.0,425,323,102
506,1366.0,2312.0,946.0,124.0,210.0,86.0,318,206,112
507,4484.0,7696.0,3212.0,345.0,592.0,247.0,995,650,345
509,894.0,1671.0,776.0,69.0,129.0,60.0,206,141,65
510,3346.0,6843.0,3498.0,257.0,552.0,295.0,851,580,271
512,598.0,1112.0,514.0,60.0,111.0,51.0,130,86,44
519,2025.0,5727.0,3702.0,169.0,477.0,308.0,657,499,158
520,1083.0,2453.0,1370.0,99.0,204.0,106.0,276,195,81
534,2779.0,10985.0,8206.0,214.0,845.0,631.0,1149,950,199
535,9483.0,18367.0,8883.0,862.0,1670.0,808.0,2100,1465,635
538,1305.0,2372.0,1066.0,110.0,182.0,73.0,333,222,111
539,2316.0,8201.0,5884.0,201.0,631.0,429.0,1007,826,181
542,3266.0,8060.0,4794.0,254.0,620.0,366.0,1023,753,270
555,4224.0,6061.0,1836.0,352.0,505.0,153.0,910,539,371
556,994.0,1890.0,897.0,110.0,210.0,100.0,258,173,85
557,2634.0,8775.0,6141.0,203.0,675.0,472.0,1123,887,236
558,9905.0,26008.0,16103.0,762.0,2001.0,1239.0,2746,2073,673
560,4463.0,6412.0,1949.0,372.0,534.0,162.0,932,560,372
561,808.0,1882.0,1074.0,72.0,145.0,73.0,247,178,69
565,6035.0,1465.0,-4570.0,464.0,113.0,-352.0,543,97,446
568,821.0,4482.0,3661.0,84.0,408.0,324.0,460,396,64
569,4029.0,4423.0,394.0,310.0,340.0,30.0,616,340,276
571,1766.0,4863.0,3096.0,209.0,405.0,196.0,610,462,148
573,3934.0,9741.0,5807.0,358.0,886.0,528.0,1117,830,287
578,2063.0,3833.0,1771.0,159.0,295.0,136.0,504,334,170
579,5226.0,7408.0,2182.0,436.0,617.0,182.0,1197,757,440
583,249.0,1092.0,843.0,33.0,91.0,58.0,126,104,22
590,3685.0,8621.0,4937.0,307.0,718.0,411.0,1123,842,281
592,22.0,65.0,43.0,11.0,32.0,22.0,9,7,2
593,652.0,866.0,214.0,72.0,96.0,24.0,129,75,54
595,5783.0,9244.0,3461.0,482.0,770.0,288.0,1102,693,409
596,4322.0,9605.0,5283.0,332.0,739.0,406.0,1147,824,323
597,5048.0,7854.0,2806.0,388.0,604.0,216.0,982,620,362
598,3806.0,10652.0,6845.0,293.0,900.0,607.0,1059,802,257
599,1519.0,3261.0,1742.0,142.0,251.0,109.0,389,278,111
601,1503.0,2855.0,1351.0,141.0,220.0,79.0,382,265,117
603,3560.0,5910.0,2349.0,324.0,537.0,214.0,768,493,275
605,1462.0,3794.0,2332.0,122.0,316.0,194.0,433,315,118
606,3071.0,5308.0,2237.0,256.0,442.0,186.0,691,460,231
610,6234.0,10553.0,4318.0,480.0,812.0,332.0,1328,862,466
611,1896.0,4738.0,2842.0,146.0,364.0,219.0,571,419,152
615,7270.0,11781.0,4511.0,559.0,906.0,347.0,1448,958,490
616,1976.0,6603.0,4627.0,180.0,600.0,421.0,812,652,160
618,3156.0,3807.0,651.0,287.0,346.0,59.0,722,391,331
620,1483.0,2898.0,1416.0,124.0,242.0,118.0,358,243,115
623,1606.0,2368.0,762.0,124.0,188.0,65.0,336,212,124
625,2285.0,5325.0,3040.0,176.0,459.0,283.0,602,433,169
626,1271.0,2798.0,1527.0,112.0,215.0,103.0,312,220,92
629,2405.0,3455.0,1050.0,344.0,494.0,150.0,456,285,171
633,1119.0,2929.0,1810.0,86.0,225.0,139.0,400,296,104
635,684.0,1716.0,1033.0,63.0,143.0,80.0,206,150,56
637,312.0,2134.0,1821.0,62.0,427.0,364.0,241,214,27
641,1386.0,3378.0,1991.0,107.0,260.0,153.0,449,327,122
642,4150.0,5546.0,1396.0,346.0,462.0,116.0,782,486,296
643,1434.0,5012.0,3578.0,110.0,386.0,275.0,676,553,123
644,147.0,335.0,187.0,41.0,67.0,26.0,43,31,12
645,703.0,1334.0,631.0,70.0,139.0,68.0,166,113,53
648,5859.0,17542.0,11683.0,533.0,1595.0,1062.0,2000,1530,470
650,6130.0,11811.0,5681.0,472.0,909.0,437.0,1432,981,451
651,1608.0,3607.0,2000.0,124.0,277.0,154.0,483,360,123
652,616.0,2820.0,2205.0,88.0,403.0,315.0,315,260,55
658,896.0,2396.0,1500.0,72.0,184.0,112.0,287,215,72
660,1300.0,3989.0,2688.0,108.0,332.0,224.0,432,334,98
661,1023.0,2529.0,1506.0,85.0,211.0,126.0,340,254,86
663,2569.0,4730.0,2161.0,198.0,364.0,166.0,605,413,192
664,20429.0,49071.0,28642.0,1571.0,3775.0,2203.0,5221,3747,1474
668,1759.0,2834.0,1074.0,135.0,218.0,83.0,396,261,135
670,888.0,1529.0,640.0,178.0,306.0,128.0,178,118,60
673,3044.0,5046.0,2002.0,234.0,401.0,167.0,673,437,236
675,4469.0,17386.0,12917.0,894.0,3477.0,2583.0,2000,1625,375
676,5712.0,18322.0,12610.0,816.0,2617.0,1801.0,2100,1681,419
677,231.0,323.0,92.0,23.0,27.0,4.0,48,29,19
679,5557.0,9521.0,3965.0,397.0,680.0,283.0,1263,819,444
683,6257.0,16620.0,10363.0,481.0,1278.0,797.0,1947,1463,484
686,1358.0,2201.0,843.0,138.0,184.0,46.0,277,180,97
693,1551.0,2926.0,1375.0,119.0,225.0,106.0,400,270,130
694,2752.0,4771.0,2020.0,212.0,367.0,155.0,569,379,190
697,4442.0,7127.0,2685.0,342.0,548.0,207.0,860,554,306
698,2387.0,4967.0,2580.0,259.0,452.0,193.0,617,432,185
700,4950.0,7407.0,2456.0,413.0,617.0,205.0,1052,654,398
701,3276.0,5569.0,2293.0,259.0,428.0,170.0,695,450,245
702,11721.0,18114.0,6393.0,902.0,1393.0,492.0,2119,1321,798
703,282.0,588.0,306.0,177.0,196.0,19.0,72,51,21
704,4402.0,9597.0,5195.0,339.0,738.0,400.0,1142,803,339
705,2690.0,6854.0,4164.0,224.0,571.0,347.0,896,682,214
706,1772.0,4142.0,2371.0,163.0,396.0,232.0,482,351,131
707,3370.0,7215.0,3845.0,259.0,555.0,296.0,841,588,253
708,544.0,1181.0,637.0,91.0,197.0,106.0,148,104,44
712,760.0,1552.0,792.0,76.0,155.0,79.0,209,143,66
715,13035.0,22363.0,9328.0,1003.0,1720.0,718.0,2735,1781,954
717,797.0,1573.0,775.0,66.0,131.0,65.0,185,125,60
718,3842.0,5604.0,1762.0,296.0,431.0,136.0,747,469,278
719,7195.0,11502.0,4307.0,553.0,885.0,331.0,1382,894,488
720,7538.0,25758.0,18219.0,580.0,1981.0,1401.0,2962,2346,616
721,2651.0,9539.0,6888.0,241.0,897.0,656.0,1035,830,205
725,3098.0,4825.0,1728.0,238.0,371.0,133.0,697,432,265
730,5141.0,12843.0,7702.0,428.0,1070.0,642.0,1427,1043,384
731,4407.0,11545.0,7138.0,403.0,888.0,485.0,1300,973,327
732,521.0,1498.0,977.0,40.0,115.0,75.0,175,131,44
734,551.0,1718.0,1166.0,61.0,191.0,130.0,226,176,50
736,1398.0,2898.0,1501.0,233.0,483.0,250.0,371,260,111
