userid,2157-03,2157-04,2157-05,2157-06,2157-07,2157-08,2157-09,2157-10,2157-11,2157-12,2158-01,2158-02,2158-03,2158-06,2158-08
174,58.753781,57.740471,59.509173,58.537722,55.571243,54.447986,,,,,,,,,
176,,,,0.0,20.118828,0.0,,,,,,,,,
178,17.277035,17.26393,17.285461,17.279812,17.237133,17.233091,19.320922,18.125819,19.112843,16.652409,17.695717,,,,
180,0.0,0.0,0.0,,,,,,,,,,,,
183,0.0,0.0,,,,,,,,,,,,,
184,56.836923,57.205918,36.41633,,,,,,,,,,,,
188,,,,,,,20.762887,20.178753,21.056912,20.412045,21.32265,,,,
189,,,,,,,,,20.979812,20.964596,,,,,
190,39.379848,38.235116,38.094821,38.907212,20.246363,37.555258,39.566624,20.242588,39.462501,34.701693,,,,,
192,,,,19.48582,0.0,19.211616,19.22683,61.176458,18.802581,,,,,,
193,0.0,41.291761,20.372334,40.889405,20.763281,,,,,,,,,,
194,,,,,,,,,,0.0,0.0,0.0,,,
195,,,,,,,,,,55.865605,39.021555,18.359229,0.0,,
200,55.741581,34.714325,54.824675,56.710897,57.75386,57.427698,56.850834,54.504778,53.833459,35.533129,35.93287,,,,
201,,,,,,17.584739,,17.749343,,17.044878,,,,,
203,0.0,18.453628,0.0,,,,,,,,,,,,
204,,,,,,,,58.380122,,,,,,,
205,,19.882337,18.655211,38.907407,,,39.925224,,,,,,,,
206,19.460638,19.589052,,,,,,,,,,,,,
207,,,,,,,,,,19.767986,19.746641,19.561207,,,
208,62.46903,85.158577,57.392679,60.125428,62.962353,63.154637,59.966137,63.005318,59.274558,85.741495,86.287046,85.669438,85.544439,,
209,,21.324215,,21.153196,,,,,,,,,,,
210,36.63298,57.553202,40.060479,59.857972,59.853453,53.340041,17.664236,56.200269,,,,,,,
211,0.0,14.174715,0.0,0.0,0.0,,0.0,,,,,,,,
213,,,19.596254,18.566975,,,,,,,,,,,
215,16.203435,16.005214,16.781759,16.197443,12.663041,19.235237,17.920689,37.550438,18.960669,11.942664,,,,,
217,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,
219,,20.566023,39.652862,56.879506,41.333932,20.205071,80.545227,77.001093,75.114699,77.387767,37.003812,,,,
220,,38.657459,40.175363,40.428427,39.929533,,,,,,,,,,
221,,0.0,19.560896,38.699401,38.779853,38.728813,39.686133,40.39697,,,,,,,
222,,0.0,0.0,0.0,0.0,0.0,0.0,35.115297,37.931274,0.0,0.0,18.174129,0.0,,
223,,,,,,,,18.725878,,,,,,,
225,21.880991,38.40294,40.256867,,,21.012723,,0.0,,,,,,,
226,,,59.044023,,,,,,,,,,,,
228,39.255889,40.52214,40.338108,39.40339,40.299584,41.823675,40.884413,41.000721,40.974153,27.854058,21.001147,21.008007,,,
230,18.358908,0.0,,,,,,,,,,,,,
231,,62.670457,,,,,,18.695601,,,17.55114,,,,
235,37.055439,58.10964,18.696904,,,,,,,,,,,,
236,,,,,,19.749374,18.875698,17.32312,16.784426,38.61239,34.099696,,,,
237,,19.956384,38.893868,,,,,,,,,,,,
238,,,,,61.044142,,,82.563523,78.216724,75.736042,99.938348,82.019248,59.429145,,
239,18.941951,,0.0,,,,,,,,,,,,
241,52.678423,56.318123,19.417666,59.28133,79.151814,81.257703,41.478923,39.256389,35.347652,51.74042,35.858391,0.0,,,
243,0.0,,,,,,,,,,,,,,
244,,34.748301,19.471952,19.182938,17.729254,,,,,,,,,,
245,40.125722,59.029827,59.255638,59.806087,59.17471,59.423569,58.908012,58.63092,59.222626,59.594875,40.232544,,,,
248,,,,,,,,,,,0.0,,,,
249,0.0,0.0,0.0,0.0,,,,,,,,,,,
251,20.441274,19.460342,0.0,,,,,,,,,,,,
254,38.502805,56.875882,18.319311,51.680456,78.663918,74.613803,18.180587,,,,,,,,
255,65.217884,108.08672,127.481248,127.621344,127.578877,106.358522,127.664111,84.487448,127.74504,105.496023,,,,,
256,17.673494,33.436502,0.0,19.006887,,,,,,,,,,,
257,,,,,,0.0,,,,,,,,,
258,,,,,,,,0.0,0.0,0.0,0.0,,,,
262,18.687554,,33.52411,,,,,34.076955,,,,,,,
263,18.765757,36.115705,37.675018,18.765697,0.0,,18.57928,,,,,,,,
265,,0.0,0.0,,,,,,,20.61318,20.247331,,,,
267,,,38.970002,38.831525,58.724765,56.373849,,,,,,,,,
268,21.603204,21.874538,20.097699,19.300519,40.840858,35.49208,39.661819,59.731926,59.340095,,,,,,
269,,,,,,,,,0.0,,,,,,
272,,19.794834,20.292033,21.11578,40.609057,61.444584,61.99602,60.283884,40.874618,42.962962,,,,,
274,37.375643,75.554856,80.222958,74.031249,92.607384,96.466228,91.92044,92.300373,76.98868,78.07559,93.645981,82.318028,,,
275,,,40.645551,,,,,,,,,,,,
276,0.0,,,,,,,0.0,39.919266,19.932796,20.070987,0.0,,,
277,17.153417,15.229135,17.536981,,14.884186,,15.824285,17.744071,17.393722,17.428777,18.622457,,,,
280,,,,39.090276,34.603051,39.002545,17.122405,34.725201,17.427989,33.388767,32.913151,0.0,,,
281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.662184,,,,,,,
282,20.73846,20.92239,20.561197,20.298006,20.313015,19.332562,20.21472,20.622564,18.585328,0.0,0.0,0.0,0.0,,
283,39.015923,77.910626,79.619805,80.943495,82.706371,83.561644,83.10044,82.330339,41.916965,83.559863,101.504325,60.681321,19.765237,,
284,,,,,,19.499573,,,,,,,,,
286,21.02346,20.504255,20.250686,19.536291,18.967443,19.187047,19.173372,19.515302,20.343231,0.0,,,,,
287,,,,,,,21.142092,20.490344,,21.142092,19.469048,20.652948,,,
289,,19.971271,57.299314,72.666919,86.664311,72.864536,88.119052,90.227323,96.967514,,,,,,
290,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
291,,12.549354,,14.019796,,,,,,,,15.654133,15.669459,,
292,,,,20.3076,79.797306,19.108615,,,,,,,,,
294,37.797501,18.397094,,55.433502,54.288593,50.40509,34.141144,50.608435,34.415733,,,,,,
296,40.004169,,,,,,,,,,,,,,
298,,,,17.305619,,37.27851,,0.0,17.305619,,,,,,
299,,42.380024,40.171084,0.0,,,,20.963918,20.963918,,,,,,
300,40.183745,0.0,0.0,,,,,,,,,,,,
301,76.371248,56.889679,58.159964,76.244794,76.712776,79.725074,61.912921,59.205555,76.65429,51.33692,76.257655,,,,
302,,,,,,,,,0.0,0.0,,,,,
303,59.922638,61.951218,40.3966,38.401108,19.96122,59.668965,60.698781,60.075888,59.365866,59.758685,60.370289,,,,
304,,0.0,20.78327,20.832657,19.593168,20.578184,21.013652,21.334296,21.377375,0.0,,,,,
305,20.762979,0.0,41.270606,38.528723,39.799175,41.211937,0.0,63.474439,21.340688,63.786102,39.539652,,,,
306,,,,41.673387,,0.0,0.0,,,,,,,,
308,19.037691,51.605482,37.222888,38.697136,76.232456,90.690025,93.95085,91.932801,94.296483,92.832775,93.584647,,,,
309,,,,,,21.162608,21.05187,,,21.105882,,21.749227,,,
313,,,,,18.208402,19.277723,,,,,,,,,
316,39.031887,60.481942,60.50029,60.097519,37.500953,59.574785,60.186317,61.291375,60.861969,64.793461,65.081632,62.640836,0.0,,
317,,,,,,,,,19.350098,,,,,,
319,0.0,41.249208,20.045528,,,,,,,,,,,,
322,0.0,0.0,18.548702,18.625158,18.438609,,,,,,,,,,
325,,,,,,,,0.0,21.925931,,,,,,
326,,,,,19.953917,,20.753671,20.241374,,,,,,,
330,18.81953,17.523983,17.726803,19.989122,37.438563,38.100816,30.42601,38.547035,,,,,,,
331,19.974485,19.646963,20.292371,0.0,,,,,,,,,,,
335,,,,,,,,0.0,0.0,0.0,,,,,
336,37.832904,57.620297,38.207741,38.982906,60.378264,60.644066,60.302171,59.193349,61.014531,59.317608,82.828522,,,,
339,,,,18.493194,20.244171,18.49464,18.003184,20.321916,17.228505,0.0,,,,,
341,,,,,,,,,,0.0,,,,,
342,,,43.61564,,20.938216,20.996891,21.391516,,20.260629,,,,,,
343,,,,,,,,,,,,,19.903955,,
345,34.113449,61.780173,41.924382,,,,,,,,,,,,
346,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,
350,76.522699,95.43529,117.02795,112.271147,112.16137,111.687619,112.340882,118.568311,134.29636,129.906522,116.803909,,,,
352,,,,,,,,0.0,,,,,,,
355,,,,,,,,,0.0,0.0,0.0,0.0,,,
358,17.88194,17.876837,17.88021,18.826629,18.672232,39.085866,57.425183,55.182206,54.564514,57.5195,,,,,
359,,,,,21.10112,19.054985,,15.686008,15.744948,15.79006,,,,,
362,20.153759,40.043499,38.294386,38.867017,37.678517,39.834415,38.062066,38.482504,63.333704,41.920431,40.874279,,,,
365,19.880862,,19.525921,18.973423,18.693343,19.471932,19.723673,20.260844,18.898624,19.4216,20.493564,0.0,,,
366,71.521664,60.136008,57.960322,77.872496,119.347587,116.033301,111.941769,119.91743,111.007073,115.750965,99.534011,98.116413,18.351782,,
367,,,,,0.0,,,0.0,,,,,,,
368,0.0,19.268437,19.283946,18.596984,19.887889,19.486762,18.548312,0.0,19.075762,18.308432,18.496801,,,,
369,,,,,,,,,,,17.540056,,,,
370,,,0.0,0.0,0.0,0.0,,,,,,,21.570121,,
372,19.06493,20.6694,18.376721,20.926782,16.752245,20.354472,19.212957,19.556885,17.92752,19.160344,17.85019,17.996794,,,
373,34.110691,38.465317,54.316771,53.62995,49.813218,52.383948,49.596167,52.306699,49.423051,48.742581,50.880305,13.151528,,,
375,,,19.278895,18.519383,3.870896,16.988336,,,,,,,,,
376,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
377,19.702447,20.263879,19.422622,19.364686,19.440521,,,,,,,,,,
378,18.799378,34.533871,34.888173,28.646984,37.119257,,,,,34.983143,,,,,
381,,,,,,,,39.60032,,,,,,,
382,,,,,,,,,,0.0,,,,,
384,18.762928,20.003879,19.105906,16.583858,19.50442,19.353591,19.21306,18.620722,16.560689,18.577662,,,,,
386,,,,,0.0,,,,,,,,,,
387,18.472936,18.197135,19.001326,19.183931,19.334606,19.469491,19.789821,18.651573,17.900242,17.827738,37.395133,18.422834,,,
390,17.748033,18.620745,18.752022,20.016544,18.776158,17.928585,18.655353,19.10068,19.320194,17.849706,18.254615,18.828167,19.390194,,
391,,,,,37.095625,18.714558,0.0,16.572849,,,,,,,
392,,,,,,,,,,20.639899,0.0,,,,
393,,,,,19.003018,,,,,,,,,,
394,,,20.664418,20.664428,41.317506,63.131826,41.328836,63.024971,19.200776,,,,,,
395,,,19.092329,,,15.898257,18.436356,15.9104,16.992867,17.516746,16.697675,,,,
400,20.105746,21.537495,19.970806,,,,,,,,,,,,
401,36.573759,110.078527,95.185978,129.532847,91.91142,113.991626,112.293262,94.692197,133.178316,129.174557,131.935217,94.865627,77.171408,,
403,35.336528,,,,,,,,,,,,,,
404,,,,,19.412462,20.156511,18.734416,19.177326,,,,,,,
405,19.70877,55.810146,33.769735,19.809535,36.590788,36.052664,,,18.412716,,,,,,
408,,,,,20.214819,20.671885,20.186382,,,,,,,,
409,20.029236,,38.895498,40.834832,38.075367,58.656959,18.313692,62.691141,57.34666,58.5287,,,,,
410,,,,,,,54.216169,54.331607,57.243016,55.962217,,,,,
411,39.18668,102.46736,,,,,,,,,,,,,
414,16.789594,19.450122,19.642928,19.84899,9.333902,19.460765,,,,,,,,,
415,38.493608,19.062353,40.304184,20.9237,38.814771,38.895115,20.925273,40.153303,19.99311,42.11472,41.616608,21.193892,,,
416,42.860893,62.04962,20.731996,,41.941033,20.867521,,,,,,,,,
419,,,,,,,,15.114558,,,,,,,
421,39.084334,40.103473,21.072809,37.454529,36.591457,53.906371,56.17538,74.106503,52.88992,54.106752,,,,,
423,,0.0,16.339376,0.0,0.0,0.0,0.0,,,,,,,,
424,,,,20.173553,,,19.789763,,20.106016,,,,,,
425,,,18.721435,92.237204,93.339176,37.370076,38.352665,38.459276,20.257871,39.742846,,,,,
427,0.0,,,,,,,,,,,,,,
429,40.225705,79.537809,79.061562,78.587968,78.773968,77.56689,78.891389,79.533095,0.0,,,,,,
430,,,17.457668,,,0.0,,,,,,,,,
431,17.481392,17.459543,16.485103,16.464646,16.402766,16.48445,38.90175,37.332557,39.237058,38.91258,38.248515,37.866015,36.972211,,
432,,,,59.057523,38.489415,37.889522,37.956026,19.029498,,,,,,,
434,,,,79.802297,0.0,,,,,,,,,,
436,,39.846195,39.905065,82.288407,81.086989,62.070472,82.519912,79.355334,79.774782,102.389926,19.238684,,,,
437,,,61.976321,58.934911,58.436963,39.692527,59.024991,57.958907,57.37695,57.62033,57.743504,,,,
439,41.606089,118.558049,104.111735,59.467746,139.523363,160.154738,161.392381,116.714997,121.72415,140.820269,,,,,
440,,,22.462832,20.771364,40.3341,39.965922,42.417161,39.94842,39.827295,41.881594,41.820786,19.028189,,,
442,,,,17.662325,,0.0,38.295906,18.835461,,,,21.363761,,,
445,,17.334834,17.914514,,,,,,,,,,,,
448,,,,41.234856,18.96885,19.20399,19.477046,17.090223,0.0,,,,,,
449,52.896482,,18.828888,,,,,0.0,18.018539,0.0,,,,,
450,,,,,,,,,,,0.0,,,,
451,,,,21.069913,64.538785,43.482596,,,,,,,,,
452,,,0.0,,,,,,,,,,,,
453,,,20.040703,,,,,,,,,,,,
454,19.979239,40.582053,19.973069,,,,,,,,,,,,
456,,0.0,0.0,,,,,,,,,,,,
457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
458,,15.545083,18.138977,17.157927,,18.912125,18.539142,18.074151,17.668686,,,,,,
459,0.0,0.0,0.0,,,,,,,,,,,,
461,,43.436137,42.64887,,,,,,,,,,,,
463,15.942264,19.068824,18.148528,18.272969,35.317657,33.777355,37.921836,33.438045,37.848442,,,,,,
466,,,,,,,20.143542,20.146903,,20.153592,,,,,
467,,,,,20.424103,20.311007,20.326985,19.727741,,,,,,,
468,18.047122,17.667184,18.138689,17.872442,17.8757,17.867372,17.414928,17.66156,18.323092,16.686789,17.863923,20.324319,,,
471,,,,19.547796,,,,,,,,,,,
472,,,,,,,,,20.166665,,,,,,
476,,,,20.66292,,,,,,,,,,,
477,19.229462,20.296735,39.299324,36.080665,36.43195,,,,,,38.84001,,,,
478,,,,,,19.213406,19.209116,18.8738,19.856338,20.35887,,20.32168,,,
480,37.410633,35.962451,35.069011,32.01048,0.0,,,,,,,,,,
482,56.223572,55.637722,37.741035,39.84281,,,,,,,,,,,
483,,,,,,,,,,18.429145,18.162235,19.308835,,,
484,,20.124299,18.860946,0.0,18.867475,18.176166,,19.462669,,18.050322,,,,,
486,20.232388,40.882527,57.10069,60.744911,80.118705,59.84061,61.315448,60.512338,41.350255,40.742424,41.42398,63.203443,,,
487,0.0,0.0,,,,,,,,,,,,,
488,0.0,21.9868,20.563766,40.742272,38.821061,39.715997,39.439134,37.269919,21.799008,22.170825,41.881195,19.659326,0.0,,
489,,,,19.518871,,,,,,,,,,,
490,0.0,37.579439,38.141856,37.936415,40.709495,40.790843,62.035527,62.134362,41.861605,82.346173,0.0,,,,
492,34.361771,40.726189,40.507243,,,,,,,,,,,,
493,37.133058,80.936395,59.520817,19.162434,,,,,,,,,,,
494,60.529321,60.48087,60.822498,60.054588,61.866754,63.623996,60.852746,61.307965,62.809097,63.544361,,,,,
495,20.232403,38.171771,39.340752,37.908684,,,,,,,,,,,
498,18.018722,15.144206,0.0,,,,,,,,,,,,
499,,,,,,,,29.214081,16.561658,,,,,,
500,33.086568,34.798854,32.959382,0.0,53.918845,33.15914,47.955952,0.0,,,,,,,
501,19.599015,35.3119,18.857498,19.381239,,,,,,,,,,,
503,19.450805,0.0,19.481949,0.0,17.665801,18.986321,0.0,19.669774,,19.621699,40.307371,20.271953,,,
504,,,,21.022775,,,,,,,,,,,
508,,,18.264209,17.26396,18.765436,39.78747,19.015709,18.76599,18.681137,18.977429,18.853879,19.760495,,,
511,37.572177,55.767574,34.000349,37.543048,36.702971,36.713229,,,,,,,,,
513,,,,,,,,,,,,,0.0,,
514,19.460445,22.967003,,,,,,,,,,,,,
517,0.0,0.0,0.0,39.545803,37.038417,18.877795,,,,,,,,,
519,16.965488,14.993877,16.329351,17.487667,19.057347,0.0,19.750873,17.036182,19.058788,15.984847,18.956236,0.0,,,
520,19.511239,37.128877,38.583593,38.77259,36.836779,38.763105,38.765887,60.020975,58.081809,57.06727,33.662614,,,,
522,,,,,,39.626904,39.645812,38.075552,36.212082,36.166353,36.760526,17.244374,,,
523,,,18.804015,11.454088,17.707906,,18.818479,18.759487,19.623915,,,,,,
524,,,,,,,,20.402905,41.254196,20.614587,18.326319,,,,
525,32.60164,16.283191,,16.977177,51.68083,53.734708,50.754013,18.184152,,,,,,,
526,19.769803,19.03596,19.506925,19.615698,17.735727,18.37301,19.475481,18.199255,18.351914,20.066552,,,,,
527,40.868863,61.321745,39.971221,39.675815,40.425649,59.1435,40.80327,39.674913,,,,,,,
528,,,,21.315475,20.740927,22.193107,21.480345,22.011155,20.848396,,,,,,
529,,,0.0,,,,,,,,,,,,
530,17.218045,35.122154,18.646876,17.638783,,,,,,,,,,,
531,,,,19.56152,19.454558,20.984981,21.73219,21.066319,20.364135,21.167758,0.0,,,,
533,,,20.446124,20.463498,20.584063,20.535957,20.443381,20.817572,20.567455,,,,,,
534,,,,,,,0.0,0.0,18.361833,,,,,,
536,-17.264799,0.0,0.0,0.0,0.0,,,,,,,,,,
537,40.25331,80.764777,75.806614,77.835506,38.618468,37.366057,58.019905,57.098143,37.276918,37.656932,54.809753,16.89346,,,
539,,,0.0,,,,,,,,,,,,
540,,18.608451,18.73071,19.013705,18.465282,19.016244,18.112307,18.03638,18.053349,39.659745,37.791071,19.347885,18.758143,,
541,,,,20.204548,,18.830698,18.538362,35.901538,37.310982,38.656419,19.307682,,,,
543,13.667832,30.937845,30.660718,,,,,,,,,,,,
545,0.0,20.720798,20.664418,20.666516,20.696872,20.500722,20.660611,,19.39438,,,,,,
546,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
547,18.287465,20.109814,39.651412,20.109814,40.151405,41.160244,40.101791,61.908836,62.558106,62.410882,62.476277,41.490265,,,
548,63.058384,82.864845,82.840169,83.159209,81.384012,83.475336,0.0,0.0,55.549719,79.405298,79.565227,19.458777,,,
549,,,19.481156,,,38.475331,,,,,,,,,
550,,20.04623,20.224158,19.424452,0.0,,,,,,,,,,
553,0.0,61.000987,41.513952,81.495309,62.271278,83.011416,83.010002,58.403779,83.462109,62.384045,55.184364,62.130344,41.883498,,
554,,,,,,,,,,0.0,,,,,
555,,,,,,,,,,19.098992,,,,,
556,,,,17.709635,17.658999,17.647503,17.001596,17.683377,17.760827,17.727615,17.668686,16.922095,,,
557,,18.281251,17.270385,,,,,,,,,,,,
558,58.870054,97.35353,96.646069,118.691677,116.054549,96.849332,118.941315,140.702441,118.9093,,,,,,
561,,,,,,,17.056602,17.029761,15.411074,,,,,,
562,,,,,,,19.865835,18.553444,16.272826,16.077382,,,,,
563,21.029061,21.015075,42.070773,42.070773,21.069883,,,,,,,,,,
564,,,,,,58.779292,59.707143,75.478194,18.911352,78.22614,116.943524,79.212896,18.574877,,
566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.548578,19.491621,,,,
567,,,,,,,,19.951068,17.668686,,,,,,
570,,,55.917378,74.975551,75.420413,73.444419,,,34.425171,75.273848,77.907801,,,,
571,,,,,20.322736,18.168406,,,,,,,,,
