userid,avgMon_count,avgMon_mean,avgMon_modern,avgMon_max
140,135.0,112.0,135.0,4.0
141,128.0,105.0,128.0,4.0
142,84.0,101.0,84.0,3.0
143,224.0,128.0,224.0,4.0
145,165.0,120.0,165.0,4.0
146,345.0,122.0,345.0,4.0
147,265.0,110.0,265.0,4.0
148,176.0,115.0,176.0,4.0
149,117.0,117.0,117.0,4.0
150,228.0,111.0,228.0,4.0
151,88.0,107.0,88.0,4.0
153,126.0,113.0,126.0,3.0
154,110.0,112.0,110.0,4.0
155,90.0,113.0,90.0,4.0
156,173.0,119.0,173.0,4.0
157,248.0,101.0,248.0,3.0
158,170.0,115.0,170.0,4.0
159,170.0,118.0,170.0,4.0
160,217.0,115.0,217.0,4.0
161,135.0,111.0,135.0,3.0
164,238.0,102.0,238.0,3.0
165,63.0,107.0,63.0,3.0
166,52.0,114.0,52.0,4.0
167,420.0,98.0,420.0,3.0
168,32.0,118.0,32.0,3.0
169,144.0,106.0,144.0,4.0
171,126.0,108.0,126.0,4.0
172,70.0,118.0,70.0,4.0
173,78.0,105.0,78.0,4.0
174,112.0,98.0,112.0,4.0
176,80.0,112.0,80.0,4.0
177,72.0,136.0,72.0,2.0
178,126.0,120.0,126.0,4.0
179,92.0,120.0,92.0,4.0
180,144.0,108.0,144.0,3.0
181,65.0,123.0,65.0,3.0
183,7.0,20.0,7.0,1.0
184,287.0,118.0,287.0,4.0
186,196.0,96.0,196.0,4.0
187,40.0,101.0,40.0,3.0
189,264.0,132.0,264.0,3.0
192,84.0,113.0,84.0,4.0
193,96.0,99.0,96.0,4.0
194,80.0,112.0,80.0,4.0
195,256.0,122.0,256.0,3.0
196,305.0,105.0,305.0,4.0
197,110.0,111.0,110.0,4.0
198,104.0,108.0,104.0,4.0
199,163.0,112.0,163.0,4.0
201,260.0,123.0,260.0,4.0
203,112.0,102.0,112.0,3.0
204,104.0,113.0,104.0,4.0
206,140.0,111.0,140.0,4.0
207,110.0,119.0,110.0,3.0
210,90.0,102.0,90.0,3.0
212,180.0,96.0,180.0,4.0
213,76.0,114.0,76.0,3.0
214,262.0,118.0,262.0,4.0
215,12.0,20.0,12.0,1.0
216,132.0,113.0,132.0,3.0
218,416.0,114.0,416.0,3.0
219,212.0,121.0,212.0,3.0
220,120.0,114.0,120.0,4.0
221,420.0,120.0,420.0,3.0
222,56.0,115.0,56.0,2.0
223,216.0,100.0,216.0,4.0
224,158.0,116.0,158.0,4.0
225,63.0,107.0,63.0,3.0
226,205.0,115.0,205.0,4.0
227,180.0,97.0,180.0,4.0
228,364.0,92.0,364.0,4.0
231,124.0,114.0,124.0,4.0
232,173.0,106.0,173.0,4.0
233,132.0,112.0,132.0,4.0
234,80.0,99.0,80.0,3.0
237,204.0,122.0,204.0,4.0
238,30.0,118.0,30.0,1.0
239,76.0,68.0,76.0,2.0
240,544.0,118.0,544.0,4.0
241,124.0,102.0,124.0,4.0
242,80.0,112.0,80.0,4.0
243,240.0,105.0,240.0,4.0
244,82.0,109.0,82.0,4.0
246,72.0,164.0,72.0,4.0
247,54.0,105.0,54.0,2.0
248,165.0,117.0,165.0,4.0
251,198.0,116.0,198.0,3.0
252,315.0,106.0,315.0,4.0
253,140.0,112.0,140.0,4.0
254,60.0,112.0,60.0,4.0
255,56.0,88.0,56.0,2.0
258,286.0,125.0,286.0,3.0
259,161.0,113.0,161.0,4.0
263,279.0,96.0,279.0,4.0
266,270.0,112.0,270.0,4.0
267,100.0,121.0,100.0,4.0
270,72.0,91.0,72.0,3.0
272,194.0,102.0,194.0,3.0
273,95.0,92.0,95.0,3.0
274,157.0,113.0,157.0,4.0
275,322.0,125.0,322.0,3.0
276,195.0,119.0,195.0,3.0
277,84.0,112.0,84.0,4.0
278,155.0,101.0,155.0,3.0
279,120.0,108.0,120.0,4.0
281,30.0,75.0,30.0,1.0
282,160.0,93.0,160.0,3.0
283,207.0,121.0,207.0,4.0
284,68.0,111.0,68.0,4.0
287,156.0,121.0,156.0,4.0
288,72.0,109.0,72.0,4.0
289,247.0,107.0,247.0,4.0
290,16.0,118.0,16.0,1.0
291,2230.0,101.0,2230.0,4.0
292,91.0,119.0,91.0,3.0
293,126.0,115.0,126.0,4.0
294,96.0,126.0,96.0,4.0
295,156.0,118.0,156.0,4.0
297,144.0,112.0,144.0,3.0
298,108.0,109.0,108.0,4.0
299,297.0,88.0,297.0,3.0
300,116.0,88.0,116.0,4.0
303,156.0,108.0,156.0,3.0
304,110.0,104.0,110.0,3.0
305,210.0,102.0,210.0,4.0
306,1989.0,106.0,1989.0,4.0
307,145.0,102.0,145.0,4.0
308,150.0,103.0,150.0,4.0
309,504.0,118.0,504.0,4.0
310,198.0,103.0,198.0,3.0
311,48.0,114.0,48.0,2.0
313,136.0,124.0,136.0,4.0
314,234.0,129.0,234.0,4.0
316,78.0,91.0,78.0,3.0
317,66.0,115.0,66.0,2.0
318,78.0,114.0,78.0,4.0
319,102.0,97.0,102.0,4.0
320,144.0,101.0,144.0,3.0
322,138.0,115.0,138.0,4.0
323,96.0,112.0,96.0,3.0
324,78.0,120.0,78.0,3.0
325,78.0,117.0,78.0,4.0
326,254.0,115.0,254.0,4.0
328,57.0,103.0,57.0,4.0
330,154.0,104.0,154.0,3.0
331,270.0,110.0,270.0,4.0
332,352.0,112.0,352.0,4.0
333,68.0,113.0,68.0,4.0
334,125.0,106.0,125.0,4.0
335,45.0,117.0,45.0,2.0
336,96.0,113.0,96.0,4.0
338,75.0,120.0,75.0,4.0
341,88.0,101.0,88.0,3.0
342,100.0,112.0,100.0,4.0
343,24.0,126.0,24.0,2.0
344,80.0,118.0,80.0,3.0
345,108.0,106.0,108.0,4.0
347,240.0,99.0,240.0,4.0
349,60.0,112.0,60.0,4.0
350,114.0,118.0,114.0,3.0
351,35.0,105.0,35.0,3.0
353,114.0,103.0,114.0,4.0
354,65.0,106.0,65.0,4.0
355,117.0,106.0,117.0,4.0
356,415.0,122.0,415.0,4.0
357,49.0,109.0,49.0,2.0
358,132.0,108.0,132.0,4.0
359,140.0,89.0,140.0,4.0
361,182.0,111.0,182.0,4.0
362,338.0,123.0,338.0,4.0
363,88.0,125.0,88.0,4.0
364,96.0,124.0,96.0,3.0
365,130.0,107.0,130.0,4.0
366,72.0,77.0,72.0,2.0
367,413.0,113.0,413.0,4.0
369,143.0,118.0,143.0,4.0
370,220.0,114.0,220.0,4.0
371,164.0,110.0,164.0,4.0
372,291.0,124.0,291.0,2.0
373,114.0,121.0,114.0,3.0
374,69.0,135.0,69.0,3.0
375,42.0,119.0,42.0,3.0
376,104.0,103.0,104.0,4.0
378,342.0,125.0,342.0,4.0
379,140.0,104.0,140.0,4.0
380,117.0,94.0,117.0,3.0
381,408.0,109.0,408.0,3.0
382,583.0,118.0,583.0,4.0
383,68.0,115.0,68.0,3.0
384,142.0,130.0,142.0,3.0
385,159.0,94.0,159.0,4.0
386,288.0,98.0,288.0,4.0
387,1372.0,119.0,1372.0,3.0
388,238.0,117.0,238.0,4.0
389,203.0,95.0,203.0,3.0
390,143.0,112.0,143.0,4.0
391,176.0,103.0,176.0,4.0
392,66.0,110.0,66.0,2.0
393,90.0,88.0,90.0,2.0
394,154.0,90.0,154.0,3.0
395,32.0,83.0,32.0,1.0
396,15.0,110.0,15.0,3.0
397,136.0,121.0,136.0,3.0
398,15.0,110.0,15.0,3.0
399,211.0,120.0,211.0,3.0
400,80.0,101.0,80.0,3.0
401,35.0,47.0,35.0,3.0
402,72.0,111.0,72.0,3.0
403,60.0,99.0,60.0,4.0
404,157.0,111.0,157.0,3.0
405,168.0,122.0,168.0,3.0
406,329.0,111.0,329.0,3.0
407,297.0,109.0,297.0,3.0
408,102.0,111.0,102.0,4.0
409,308.0,102.0,308.0,4.0
410,180.0,115.0,180.0,4.0
411,121.0,140.0,121.0,3.0
412,40.0,126.0,40.0,2.0
413,180.0,121.0,180.0,4.0
414,510.0,115.0,510.0,4.0
415,314.0,98.0,314.0,4.0
416,201.0,110.0,201.0,4.0
417,99.0,115.0,99.0,4.0
418,192.0,116.0,192.0,3.0
419,72.0,114.0,72.0,3.0
420,310.0,109.0,310.0,4.0
421,160.0,110.0,160.0,4.0
423,144.0,122.0,144.0,3.0
424,130.0,110.0,130.0,3.0
425,114.0,113.0,114.0,3.0
426,54.0,102.0,54.0,3.0
427,80.0,112.0,80.0,4.0
429,243.0,106.0,243.0,3.0
430,116.0,95.0,116.0,4.0
431,273.0,101.0,273.0,4.0
433,12.0,110.0,12.0,1.0
434,346.0,72.0,346.0,2.0
435,306.0,94.0,306.0,3.0
437,143.0,118.0,143.0,3.0
438,108.0,88.0,108.0,4.0
439,120.0,126.0,120.0,3.0
440,22.0,42.0,22.0,2.0
441,70.0,112.0,70.0,4.0
442,224.0,112.0,224.0,3.0
443,7.0,118.0,7.0,1.0
444,204.0,121.0,204.0,3.0
445,60.0,99.0,60.0,4.0
447,100.0,112.0,100.0,4.0
448,112.0,111.0,112.0,3.0
451,141.0,106.0,141.0,4.0
452,78.0,115.0,78.0,4.0
453,99.0,119.0,99.0,3.0
454,378.0,117.0,378.0,4.0
456,266.0,95.0,266.0,4.0
457,90.0,112.0,90.0,4.0
458,345.0,122.0,345.0,4.0
459,105.0,108.0,105.0,3.0
462,504.0,117.0,504.0,4.0
463,84.0,120.0,84.0,4.0
464,208.0,117.0,208.0,4.0
465,432.0,103.0,432.0,3.0
467,86.0,128.0,86.0,3.0
468,166.0,110.0,166.0,4.0
469,141.0,101.0,141.0,4.0
471,112.0,98.0,112.0,4.0
472,48.0,101.0,48.0,3.0
475,133.0,91.0,133.0,4.0
477,153.0,97.0,153.0,4.0
479,96.0,123.0,96.0,4.0
480,135.0,110.0,135.0,4.0
481,162.0,111.0,162.0,4.0
482,96.0,114.0,96.0,4.0
483,176.0,111.0,176.0,4.0
484,180.0,115.0,180.0,3.0
485,66.0,119.0,66.0,3.0
486,176.0,107.0,176.0,4.0
487,156.0,93.0,156.0,4.0
488,80.0,118.0,80.0,3.0
489,114.0,108.0,114.0,3.0
490,184.0,119.0,184.0,4.0
491,298.0,100.0,298.0,3.0
492,24.0,110.0,24.0,3.0
496,101.0,110.0,101.0,3.0
497,202.0,118.0,202.0,4.0
498,56.0,101.0,56.0,3.0
499,128.0,115.0,128.0,4.0
500,156.0,114.0,156.0,4.0
501,57.0,102.0,57.0,3.0
503,239.0,112.0,239.0,4.0
504,258.0,112.0,258.0,3.0
505,48.0,84.0,48.0,2.0
506,430.0,113.0,430.0,3.0
507,148.0,117.0,148.0,3.0
508,112.0,111.0,112.0,3.0
509,186.0,115.0,186.0,3.0
511,182.0,114.0,182.0,4.0
514,50.0,122.0,50.0,3.0
516,38.0,118.0,38.0,3.0
517,176.0,99.0,176.0,4.0
518,345.0,125.0,345.0,4.0
519,140.0,114.0,140.0,4.0
520,191.0,121.0,191.0,3.0
521,15.0,110.0,15.0,3.0
522,132.0,107.0,132.0,4.0
524,180.0,128.0,180.0,4.0
525,150.0,111.0,150.0,3.0
526,96.0,112.0,96.0,4.0
527,77.0,109.0,77.0,3.0
528,164.0,117.0,164.0,4.0
529,100.0,107.0,100.0,3.0
530,184.0,110.0,184.0,4.0
531,234.0,118.0,234.0,3.0
532,60.0,102.0,60.0,3.0
533,517.0,112.0,517.0,3.0
534,28.0,110.0,28.0,1.0
536,210.0,111.0,210.0,4.0
537,151.0,118.0,151.0,3.0
540,320.0,99.0,320.0,3.0
541,600.0,117.0,600.0,4.0
542,216.0,117.0,216.0,4.0
544,65.0,125.0,65.0,4.0
547,437.0,101.0,437.0,4.0
548,184.0,117.0,184.0,3.0
549,258.0,121.0,258.0,4.0
550,80.0,125.0,80.0,3.0
553,78.0,80.0,78.0,3.0
554,190.0,100.0,190.0,4.0
555,356.0,111.0,356.0,4.0
556,176.0,111.0,176.0,4.0
557,56.0,68.0,56.0,2.0
560,116.0,114.0,116.0,4.0
561,310.0,113.0,310.0,4.0
562,32.0,130.0,32.0,5.0
563,112.0,112.0,112.0,4.0
564,100.0,112.0,100.0,4.0
566,130.0,93.0,130.0,4.0
568,120.0,103.0,120.0,3.0
569,129.0,100.0,129.0,4.0
570,112.0,117.0,112.0,4.0
573,48.0,98.0,48.0,3.0
574,12.0,118.0,12.0,1.0
575,45.0,102.0,45.0,3.0
576,52.0,132.0,52.0,3.0
580,128.0,112.0,128.0,4.0
581,135.0,123.0,135.0,3.0
582,50.0,112.0,50.0,4.0
583,108.0,123.0,108.0,4.0
585,32.0,126.0,32.0,2.0
586,105.0,111.0,105.0,3.0
588,30.0,130.0,30.0,2.0
589,90.0,96.0,90.0,4.0
590,60.0,112.0,60.0,4.0
591,92.0,115.0,92.0,4.0
592,484.0,116.0,484.0,4.0
593,114.0,115.0,114.0,4.0
594,138.0,108.0,138.0,4.0
595,165.0,112.0,165.0,4.0
597,323.0,113.0,323.0,4.0
598,144.0,92.0,144.0,4.0
599,110.0,109.0,110.0,3.0
600,396.0,89.0,396.0,4.0
602,94.0,117.0,94.0,3.0
603,48.0,70.0,48.0,2.0
604,162.0,115.0,162.0,4.0
605,1056.0,117.0,1056.0,4.0
606,106.0,112.0,106.0,3.0
607,242.0,92.0,242.0,3.0
608,227.0,114.0,227.0,4.0
609,194.0,75.0,194.0,3.0
610,234.0,123.0,234.0,4.0
611,155.0,118.0,155.0,3.0
612,108.0,103.0,108.0,4.0
613,176.0,109.0,176.0,3.0
614,137.0,102.0,137.0,4.0
615,286.0,98.0,286.0,4.0
616,240.0,77.0,240.0,3.0
617,87.0,117.0,87.0,3.0
618,154.0,90.0,154.0,3.0
619,60.0,112.0,60.0,4.0
620,803.0,116.0,803.0,4.0
621,105.0,117.0,105.0,4.0
623,137.0,101.0,137.0,4.0
624,368.0,114.0,368.0,4.0
626,180.0,116.0,180.0,4.0
627,378.0,98.0,378.0,3.0
629,294.0,117.0,294.0,4.0
630,320.0,99.0,320.0,4.0
631,182.0,114.0,182.0,3.0
632,150.0,91.0,150.0,4.0
633,153.0,109.0,153.0,4.0
634,53.0,112.0,53.0,4.0
635,84.0,121.0,84.0,3.0
636,7.0,118.0,7.0,1.0
637,102.0,116.0,102.0,4.0
638,79.0,45.0,79.0,2.0
639,94.0,119.0,94.0,3.0
641,45.0,110.0,45.0,2.0
642,192.0,111.0,192.0,3.0
643,80.0,107.0,80.0,3.0
644,218.0,114.0,218.0,3.0
645,99.0,113.0,99.0,4.0
646,336.0,121.0,336.0,4.0
647,70.0,111.0,70.0,4.0
648,290.0,123.0,290.0,4.0
649,84.0,103.0,84.0,4.0
650,16.0,114.0,16.0,2.0
651,18.0,110.0,18.0,1.0
652,136.0,94.0,136.0,4.0
653,220.0,104.0,220.0,3.0
654,198.0,110.0,198.0,4.0
656,302.0,118.0,302.0,4.0
659,36.0,110.0,36.0,1.0
660,175.0,115.0,175.0,4.0
661,180.0,116.0,180.0,4.0
662,85.0,73.0,85.0,3.0
663,48.0,101.0,48.0,3.0
664,42.0,106.0,42.0,5.0
667,390.0,118.0,390.0,3.0
670,78.0,120.0,78.0,4.0
671,60.0,102.0,60.0,3.0
672,60.0,88.0,60.0,3.0
673,136.0,110.0,136.0,4.0
675,40.0,101.0,40.0,3.0
678,10.0,146.0,10.0,1.0
680,90.0,111.0,90.0,4.0
681,108.0,109.0,108.0,3.0
682,120.0,112.0,120.0,4.0
683,82.0,109.0,82.0,4.0
684,24.0,110.0,24.0,3.0
685,80.0,129.0,80.0,3.0
686,225.0,77.0,225.0,3.0
687,240.0,105.0,240.0,4.0
690,44.0,116.0,44.0,2.0
691,126.0,100.0,126.0,4.0
692,224.0,111.0,224.0,4.0
693,184.0,116.0,184.0,4.0
694,55.0,111.0,55.0,4.0
695,119.0,115.0,119.0,3.0
696,290.0,111.0,290.0,4.0
697,120.0,120.0,120.0,4.0
698,202.0,112.0,202.0,4.0
699,240.0,117.0,240.0,4.0
700,175.0,108.0,175.0,4.0
701,908.0,111.0,908.0,4.0
702,84.0,119.0,84.0,4.0
703,318.0,101.0,318.0,3.0
704,158.0,116.0,158.0,4.0
705,38.0,110.0,38.0,4.0
706,138.0,100.0,138.0,4.0
707,66.0,99.0,66.0,4.0
708,162.0,102.0,162.0,3.0
709,178.0,63.0,178.0,2.0
710,118.0,113.0,118.0,3.0
711,297.0,115.0,297.0,4.0
712,346.0,121.0,346.0,3.0
713,143.0,106.0,143.0,3.0
714,646.0,118.0,646.0,4.0
716,366.0,104.0,366.0,4.0
717,364.0,121.0,364.0,3.0
718,132.0,114.0,132.0,4.0
719,60.0,110.0,60.0,3.0
720,234.0,105.0,234.0,4.0
721,30.0,137.0,30.0,1.0
722,413.0,119.0,413.0,4.0
723,58.0,109.0,58.0,3.0
725,369.0,118.0,369.0,4.0
726,135.0,103.0,135.0,3.0
727,168.0,91.0,168.0,4.0
728,138.0,108.0,138.0,3.0
730,112.0,121.0,112.0,3.0
731,132.0,117.0,132.0,4.0
732,20.0,110.0,20.0,1.0
734,48.0,101.0,48.0,3.0
735,72.0,101.0,72.0,3.0
736,163.0,113.0,163.0,4.0
737,234.0,115.0,234.0,3.0
738,224.0,106.0,224.0,4.0
739,110.0,94.0,110.0,4.0
740,149.0,122.0,149.0,4.0
741,224.0,116.0,224.0,4.0
742,125.0,121.0,125.0,4.0
743,196.0,123.0,196.0,3.0
745,15.0,110.0,15.0,3.0
747,78.0,108.0,78.0,3.0
748,169.0,108.0,169.0,4.0
749,414.0,111.0,414.0,4.0
750,252.0,111.0,252.0,4.0
751,140.0,106.0,140.0,4.0
752,50.0,103.0,50.0,2.0
753,210.0,119.0,210.0,4.0
754,67.0,115.0,67.0,3.0
755,70.0,93.0,70.0,4.0
756,120.0,98.0,120.0,4.0
757,130.0,100.0,130.0,4.0
758,138.0,112.0,138.0,4.0
760,104.0,115.0,104.0,4.0
761,141.0,115.0,141.0,3.0
762,120.0,101.0,120.0,4.0
763,96.0,107.0,96.0,3.0
764,180.0,112.0,180.0,4.0
767,192.0,128.0,192.0,4.0
768,176.0,83.0,176.0,4.0
769,120.0,112.0,120.0,4.0
770,170.0,106.0,170.0,4.0
771,98.0,105.0,98.0,4.0
772,70.0,128.0,70.0,4.0
774,195.0,98.0,195.0,4.0
777,77.0,104.0,77.0,3.0
778,126.0,107.0,126.0,3.0
779,72.0,111.0,72.0,4.0
780,75.0,119.0,75.0,4.0
782,140.0,108.0,140.0,4.0
787,147.0,103.0,147.0,3.0
789,138.0,132.0,138.0,4.0
790,130.0,115.0,130.0,3.0
791,90.0,90.0,90.0,4.0
792,120.0,118.0,120.0,4.0
793,140.0,112.0,140.0,4.0
794,96.0,108.0,96.0,3.0
796,126.0,121.0,126.0,4.0
799,22.0,122.0,22.0,2.0
800,176.0,102.0,176.0,4.0
802,114.0,121.0,114.0,3.0
803,125.0,116.0,125.0,4.0
804,144.0,112.0,144.0,4.0
805,200.0,106.0,200.0,3.0
807,108.0,98.0,108.0,4.0
809,168.0,118.0,168.0,4.0
810,129.0,116.0,129.0,4.0
812,140.0,118.0,140.0,4.0
813,196.0,110.0,196.0,4.0
814,598.0,114.0,598.0,4.0
815,232.0,114.0,232.0,3.0
816,132.0,105.0,132.0,4.0
818,64.0,109.0,64.0,5.0
819,32.0,101.0,32.0,3.0
820,162.0,109.0,162.0,4.0
821,88.0,105.0,88.0,4.0
822,221.0,101.0,221.0,3.0
824,327.0,123.0,327.0,4.0
825,250.0,112.0,250.0,4.0
826,100.0,112.0,100.0,3.0
827,108.0,107.0,108.0,4.0
828,297.0,122.0,297.0,4.0
830,77.0,117.0,77.0,4.0
831,217.0,120.0,217.0,3.0
832,190.0,105.0,190.0,4.0
833,425.0,115.0,425.0,4.0
834,70.0,112.0,70.0,4.0
835,45.0,106.0,45.0,3.0
836,148.0,115.0,148.0,4.0
837,204.0,111.0,204.0,3.0
838,780.0,110.0,780.0,3.0
839,26.0,110.0,26.0,1.0
840,238.0,114.0,238.0,3.0
844,114.0,105.0,114.0,3.0
845,70.0,112.0,70.0,4.0
846,1110.0,108.0,1110.0,4.0
848,108.0,99.0,108.0,4.0
849,182.0,100.0,182.0,4.0
850,168.0,113.0,168.0,3.0
851,91.0,111.0,91.0,3.0
852,73.0,108.0,73.0,3.0
853,92.0,111.0,92.0,3.0
854,51.0,104.0,51.0,3.0
855,621.0,82.0,621.0,3.0
856,272.0,109.0,272.0,4.0
857,249.0,120.0,249.0,4.0
858,340.0,117.0,340.0,4.0
859,258.0,101.0,258.0,4.0
860,585.0,122.0,585.0,4.0
861,70.0,119.0,70.0,3.0
862,78.0,103.0,78.0,4.0
863,223.0,114.0,223.0,3.0
864,288.0,112.0,288.0,4.0
865,162.0,115.0,162.0,4.0
866,104.0,96.0,104.0,3.0
867,110.0,103.0,110.0,3.0
868,266.0,126.0,266.0,4.0
869,276.0,105.0,276.0,4.0
870,288.0,108.0,288.0,3.0
871,72.0,122.0,72.0,3.0
872,30.0,113.0,30.0,2.0
874,90.0,108.0,90.0,4.0
875,72.0,110.0,72.0,2.0
876,172.0,111.0,172.0,3.0
877,133.0,104.0,133.0,4.0
878,143.0,115.0,143.0,3.0
880,87.0,111.0,87.0,4.0
881,232.0,122.0,232.0,3.0
883,84.0,111.0,84.0,4.0
884,93.0,99.0,93.0,4.0
885,108.0,108.0,108.0,3.0
886,144.0,106.0,144.0,4.0
887,92.0,117.0,92.0,4.0
888,108.0,112.0,108.0,4.0
893,135.0,108.0,135.0,4.0
894,184.0,114.0,184.0,4.0
895,55.0,103.0,55.0,3.0
899,68.0,109.0,68.0,4.0
900,336.0,88.0,336.0,4.0
904,108.0,103.0,108.0,4.0
906,81.0,98.0,81.0,2.0
907,198.0,127.0,198.0,3.0
908,242.0,117.0,242.0,4.0
909,64.0,101.0,64.0,3.0
910,39.0,125.0,39.0,4.0
911,475.0,113.0,475.0,4.0
913,180.0,114.0,180.0,4.0
914,123.0,113.0,123.0,4.0
915,240.0,105.0,240.0,4.0
917,117.0,100.0,117.0,3.0
918,140.0,104.0,140.0,4.0
919,133.0,113.0,133.0,3.0
920,410.0,126.0,410.0,4.0
921,115.0,91.0,115.0,4.0
922,107.0,107.0,107.0,3.0
923,319.0,117.0,319.0,4.0
924,122.0,109.0,122.0,3.0
925,316.0,120.0,316.0,4.0
926,189.0,108.0,189.0,4.0
927,135.0,111.0,135.0,4.0
928,204.0,115.0,204.0,3.0
929,90.0,117.0,90.0,3.0
930,114.0,102.0,114.0,3.0
931,63.0,161.0,63.0,3.0
932,108.0,106.0,108.0,4.0
934,326.0,101.0,326.0,4.0
935,885.0,118.0,885.0,4.0
936,100.0,105.0,100.0,4.0
937,532.0,113.0,532.0,4.0
938,56.0,112.0,56.0,4.0
939,30.0,110.0,30.0,1.0
940,171.0,102.0,171.0,3.0
941,639.0,105.0,639.0,4.0
942,266.0,112.0,266.0,4.0
945,108.0,123.0,108.0,4.0
946,286.0,114.0,286.0,4.0
947,125.0,105.0,125.0,3.0
948,68.0,109.0,68.0,3.0
949,150.0,116.0,150.0,4.0
950,94.0,111.0,94.0,3.0
953,72.0,99.0,72.0,4.0
955,56.0,104.0,56.0,3.0
956,220.0,102.0,220.0,4.0
957,180.0,98.0,180.0,4.0
958,194.0,116.0,194.0,3.0
959,147.0,113.0,147.0,4.0
960,176.0,107.0,176.0,4.0
962,243.0,120.0,243.0,3.0
963,187.0,122.0,187.0,4.0
964,142.0,101.0,142.0,3.0
965,108.0,112.0,108.0,4.0
966,486.0,118.0,486.0,4.0
967,218.0,86.0,218.0,3.0
968,270.0,121.0,270.0,4.0
971,170.0,112.0,170.0,4.0
972,198.0,116.0,198.0,4.0
973,132.0,83.0,132.0,3.0
974,336.0,123.0,336.0,4.0
975,212.0,119.0,212.0,3.0
976,150.0,100.0,150.0,4.0
977,134.0,109.0,134.0,4.0
978,100.0,108.0,100.0,3.0
979,133.0,130.0,133.0,3.0
980,119.0,101.0,119.0,3.0
981,120.0,112.0,120.0,4.0
982,52.0,119.0,52.0,3.0
983,85.0,101.0,85.0,3.0
